,title,category_id,views,likes,favorites,comments,date,duration,tags
0,Israel Adesanya Octagon Interview | UFC 287,17,4161189,85378,0,NaN,2023-04-09T05:24:51Z,239,"['ufc', 'mma', 'ultimate fighting championship', 'UFC 287', 'april 8', '2023', 'saturday', 'fight', 'night', 'fighter', 'bout', 'kick', 'punch', 'knockout', 'ko', 'finish', 'win', 'best', 'of', 'highlight', 'main', 'event', 'card', 'co-main', 'prelims', 'early', 'post-fight', 'octagon', 'interview', 'question', 'answer', 'joe', 'rogan', 'miami', 'florida', 'division', 'opponent', 'matchup', 'retire', 'retirement', 'take', 'bow', 'jorge', 'masvidal', 'current', 'new', 'former', 'champion', 'champ', 'belt', 'title', 'middleweight', 'king']"
1,Star Wars Jedi: Survivor - Final Gameplay Trailer,20,1274627,62190,0,NaN,2023-04-09T11:21:55Z,118,"['star wars', 'Jedi survivor', 'star wars jedi survivor', 'jedi survivor trailer', 'star wars jedi survivor trailer', 'star wars survivor', 'jedi fallen order 2', 'jedi fallen order', 'fallen order 2', 'jedi survivor gameplay', 'star wars jedi fallen order', 'Star Wars Trailer', 'Survivor', 'JS', 'SWJFO', 'JFO', 'Jedi: Fallen Order 2', 'JFO 2', 'Cal Kestis', 'BD-1', 'Lightsaber', 'EA', 'EA Star Wars', 'EASW', 'Respawn', 'Respawn Star Wars', 'Cere Junda', 'Bode Akuna', 'Gameplay', 'Story Trailer', 'Merrin', 'Greez', 'Greez Dritus', 'Gen’Dai', 'Rayvis']"
2,Ella Baila Sola - (Video Oficial) - Eslabon Armado y Peso Pluma - DEL Records 2023,10,6800110,233265,0,NaN,2023-04-08T00:00:08Z,188,"['eslabon armado', 'peso pluma', 'ella baila sola', 'del records', 'regional mexican', 'regional mexicno', 'amg', 'nostalgia', 'video', 'musica mexicana', 'latin', 'prc', 'sad cuh', 'corridos', 'corridos 2023', 'fuerza regida', 'video oficial', 'Official Music Video']"
3,"Opening 1,000 Mystery Art Boxes",22,1897440,90164,0,NaN,2023-04-08T19:41:26Z,3486,NaN
4,"New Division New Shakur! Shakur Dominates Yoshino, 2 Knockdowns Gets Stoppage Win | FIGHT HIGHLIGHTS",17,562780,6154,0,NaN,2023-04-09T05:00:19Z,191,"['top rank boxing', 'shakur stevenson', 'shakur stevenson highlights', 'boxing', 'shakur stevenson vs yoshino', 'shakur vs yoshino', 'shakur stevenson vs shuichiro yoshino highlights', 'stevenson vs yoshino highlights', 'shakur vs yoshino highlights', 'shakur vs yoshino full fight', 'shakur stevenson vs shuichiro yoshino full fight', 'shakur stevenson vs shuichiro yoshino', 'shakur stevenson vs yoshino full fight', 'shakur stevenson vs yoshino highlights', 'stevenson vs yoshino', 'shakur post fight interview']"
5,Arriving At My Brand New Team In Japan,17,344879,16275,0,NaN,2023-04-09T15:15:02Z,1694,NaN
6,Lil Yachty - Strike (Holster) (Directed by Cole Bennett),24,1254892,105395,0,NaN,2023-04-08T16:00:10Z,152,"['Lil Yachty', 'Lil Boat', 'Holster', 'Poland', 'Wok', 'Lyrical Lemonade', 'Cole Bennett', 'Music Video', 'New', 'Viral', 'Tik Tok', 'Sister', 'Strike', '4 in my soda', 'like a hoooolster']"
7,Film Theory: Fairly OddParents BROKE Its Own Rules! (Nickelodeon),1,868579,65889,0,NaN,2023-04-09T17:05:42Z,1016,"['The fairly oddparents', 'fairly oddparents', 'timmy turner', 'timmy', 'cosmo', 'wanda', 'cosmo and wanda nickelodeon', 'nicktoons', 'nick', 'new fairly oddparents', 'fairly odd parents', 'fairy oddparents', 'fairly oddparents reboot', 'fairly oddparents full episodes', 'fairly oddparents channel chasers', 'jorgen von strangle', 'fairly oddparents intro', 'fairly oddparents song', 'fairly oddparents movie', 'fairly oddparents breakin da rules', 'da rules', 'butch hartman', 'fairly odder', 'film theory', 'film theorists', 'matpat']"
8,UFC 287 RECAP: Israel Adesanya DEFEATS Alex Pereira in 2nd Round TKO + Masvidal RETIRES | CBS Sports,17,569132,1848,0,NaN,2023-04-09T06:08:05Z,312,"['CBS', 'CBS Sports', 'sports', 'cbs sports hq', 'sports hq', 'hq', 'ufc 287', 'israel adesanya', 'alex pereira']"
9,King Charles and royal family leave first Easter Sunday of reign,25,584953,7428,0,NaN,2023-04-09T12:33:42Z,154,"['King Charles', 'Charles', 'royals', 'Royal Family', 'Queen Consort', 'Prince William', 'Kate Middleton', 'Easter', 'Easter Sunday', 'Windsor Castle']"
