,title,category_id,views,likes,favorites,comments,date,tags
0,JISOO - ‘꽃(FLOWER)’ M/V,10,41281426,4965131,0,Nan,2023-03-31T04:00:14Z,"['YG Entertainment', 'YG', '와이지', 'K-pop', 'BLACKPINK', '블랙핑크', '블핑', '제니', '로제', '리사', '지수', 'LISA', 'JISOO', 'JENNIE', 'ROSÉ', 'BLINK', '블링크', '지수 꽃', 'JISOO FLOWER', 'FLOWER', 'All Eyes On Me', 'JISOO All Eyes On Me', '지수 All Eyes On Me', 'JISOO ME', 'ME', '지수 FLOWER', 'JISOO 꽃']"
1,[SUB]  노래하고 예쁘고 귀엽고 웃기고... 그 어려운 걸 수지가 해냅니다..💖| EP.09 | 조현아의 목요일 밤 | 수지 조현아,24,1856069,43669,0,Nan,2023-03-30T10:00:28Z,"['조현아의 목요일 밤', '조현아', '어반자카파', '뮤직토크쇼', '토크쇼', '뮤직쇼', '술과음악', '음악예능', '음악', '보컬', '가수', '아티스트', '소주', '브이로그', '엠카', '프리스타일', '즉흥', '수지', '배수지', '안나', '이두나', '드림하이', '건축학개론', '국민첫사랑', '후쿠짱', '수지매력', '수지 노래', '다른사람을 사랑하고 있어', '수지 satelite', 'suzy', '커피를 마시고', '수지 술', '수지 처음처럼', '미쓰에이', '조현아 인맥', '수지 자작곡', '난로마냥', '리락쿠마', '수지 애교', '여신', '배우 수지', '인간 디올 수지', 'Miss A', 'SUZY', '숮이', 'JYP', '수지 히메컷', '수지 코디', '히메컷', '수지 샤넬', '행복한 척', '국민 여동생', '내이름은 수지가 아닌데', '수지 스타트업', '다나카', '김경욱', '나몰라패밀리', '수지 브이로그', '수지 찐친', '송민호', 'MINO', '조목밤', 'WINNER', 'bae suzy', 'skuukzky', 'LEE DOONA', 'ANNA', 'NETFLIX', '걸스나잇아웃', '엠넷', ""Girl's night out"", '장도연', '최예나', '수지게스', '인기급상승동영상', '인급동']"
2,IVE 아이브 'Kitsch' MV,10,38322469,729721,0,Nan,2023-03-27T09:00:35Z,Nan
3,임영웅 [사랑해요 그대를] @IMHERO CONCERT 2022,10,605635,57590,0,Nan,2023-03-29T09:16:00Z,"['미스터트롯', '트로트', '임영웅', '트로트영웅', '포천의아들', '아침마당', '판듀', '전국노래자랑', '영웅', '홍대트로트', '뭣이중헌디', '계단말고 엘리베이터', 'kbs', '가요무대', '도전꿈의무대', '박서진', '진달래', '천재원', '명지', '성국', '미스트롯', '장윤정', '박현빈', '박상철', '박구윤', '현장스케치', '예능', '트롯', 'TV조선', '사랑의콜센타', '뽕숭아학당', 'hero', 'imhero', '이제나만믿어요', '이나믿', '별빛같은나의사랑아', '별나사']"
4,[여동사친] 여사친도 나를 좋아한다,24,2528704,31417,0,Nan,2023-03-28T12:30:02Z,"['webdrama', 'drama', 'kdrama', 'highteen', 'school', 'romance', 'movie', 'kmovie', 'kpop', '드라마', '영화', '고등학교', '고딩', '절친', '친구', 'friend', 'マブダチ', '女子高生', 'ユリ', 'JK', '남사친', '여사친', '남친', '여친', '高校生', '百合', 'Highschool', 'Queer', 'LGBT', 'Teenager', '사이다', '참교육']"
5,[국가대표팀 평가전] 대한민국 vs 우루과이 풀 하이라이트,22,1151440,8770,0,Nan,2023-03-28T17:00:17Z,Nan
6,"[11회 선공개] ""호의가 대표님 살렸어요"" 신재하, 이제훈 죽이고 김의성에게 서늘한 경고! #모범택시2 #SBSCatch",24,502433,3146,0,Nan,2023-03-31T00:59:00Z,"['드라마 추천', '모범택시2', '드라마 모범택시2', 'SBS 모범택시2', '모범택시2 티저', '모범택시2 예고편', '모범택시2 명장면', '스브스캐치', '스브스캐치 드라마', '모범택시2 이제훈', '모범택시2 표예진']"
7,[BOYS PLANET/안무 영상] ♬Say My Name @ 아티스트 배틀,20,2174664,116055,0,Nan,2023-03-28T08:01:17Z,"['BOYS PLANET', 'CJ100', 'Mnet', 'pH-1', '립제이', '백구영', '보이즈 플래닛', '솔지', '엠넷', '이석훈', '임한별', '최영준', '티빙에서스트리밍']"
8,4년만에 돌아가신 주인 할아버지의 목소리를 듣게 된.. 천재견 호야의 반응😢 | KBS 동물극장 단짝 230225 방송,15,832642,11254,0,Nan,2023-03-29T08:00:23Z,"['애니멀포유', 'animal4u', 'kbs동물', '동물채널', '강아지', '고양이', '사자', '백호', '늑대', 'dog', 'cat', '개는 훌륭하다', '개훌륭', '강형욱', '개는 훌륭하다 강형욱', 'aggressive dog', '개훌륭 역대급', '주주클럽', '스펀지', '단짝', '동물다큐', '야생동물', '동물 다큐멘터리', '골든 레트리버', '포메라니안', '보더콜리', '사파리', '애니멀봐', '댕댕이', '동물', '귀여움', 'kbs', '무한리필샐러드', '추천', '멧돼지', '멧돼지할아버지', '악어', '멧돼지아저씨', '애니멀포유멧돼지', '신기', '오랑이', '오랑우탄', '보라', '위기탈출넘버원', '위탈넘', '햄스터', '동물실험']"
9,[MPD직캠] 지민 직캠 8K 'Set Me Free Pt.2' (Jimin FanCam) | @MCOUNTDOWN_2023.3.30,24,961443,104876,0,Nan,2023-03-30T14:49:39Z,"['엠넷', 'Mnet', '엠투', 'M2', 'MPD', '엠피디', 'Kpop', 'K-Pop', 'K팝', '아이돌', '한국', '라이브', 'Live', 'Dance', '댄스', '안무', 'MPD직캠', '엠피디직캠', '엠카운트다운', 'MCOUNTDOWN', '엠넷직캠', '직캠', '엠카', '엠카 직캠', 'Meltin FANCAM', 'Meltin', '팬캠', 'fancam', 'mnet', '지민', 'jimin', 'bts jimin', '지민 컴백', 'jimin comeback', 'like crazy', '지민 like crazy', '라이크 크레이지', '지민 라이크 크레이지', 'jimin like crazy', 'bts', '방탄소년단', 'BTS JIMIN']"
