,title,category_id,views,likes,favorites,comments,date,duration,tags
0,[59회 백상] TV부문 대상 - 박은빈 | JTBC 230428 방송,24,2736668,65224,0,NaN,2023-04-28T12:40:16Z,566,"['백상예술대상', '백상', 'baeksang', '100sang', '제59회백상예술대상', 'TV부문대상', '박은빈', '이상한변호사우영우', 'TV부문', '영화부문', '연극부문', '대상', 'TV대상', '수상자', '우영우', '박은빈대상', '우영우대상', '홍정도', '엄정화']"
1,500만원짜리 초호화 일등석 비행후기 - 아제르바이잔(1),19,1058929,31100,0,NaN,2023-04-28T11:38:14Z,1275,"['여행', '여행유튜버', '퍼스트클래스', '퍼스트클라스', '일등석', '에미레이츠항공']"
2,SPURS 2-2 MAN UTD | HIGHLIGHTS | PEDRO PORRO AND SON GOALS SEAL COMEBACK,17,2348159,33527,0,NaN,2023-04-27T23:00:14Z,136,"['Spurs', 'Tottenham Hotspur', '토트넘', '손흥민', 'Spurs 2-2 Man Utd', 'Spurs 2-2 Man United', 'Spurs 2-2 Manchester United', 'MUFC', 'Tottenham', 'PL', 'Prem', 'EPL', 'Premier League']"
3,[59회 백상] TV부문 여자 최우수 연기상 - 송혜교 | 더 글로리 | JTBC 230428 방송,24,1373974,24717,0,NaN,2023-04-28T12:09:16Z,180,"['백상예술대상', '백상', 'baeksang', '100sang', '제59회백상예술대상', 'TV부문최우수연기상', '송혜교', '더글로리', 'TV부문', '영화부문', '연극부문', '최우수연기상', '여자최우수연기상', '수상자', '이준호', '김태리']"
4,[MPD직캠] 세븐틴 직캠 8K '손오공 (Super)' (SEVENTEEN FanCam) | @MCOUNTDOWN_2023.4.27,24,1189493,91855,0,NaN,2023-04-27T10:28:59Z,222,"['엠넷', 'Mnet', '엠투', 'M2', 'MPD', '엠피디', 'Kpop', 'K-Pop', 'K팝', '아이돌', '한국', '라이브', 'Live', 'Dance', '댄스', '안무', 'MPD직캠', '엠피디직캠', '엠카운트다운', 'MCOUNTDOWN', '엠넷직캠', '직캠', '엠카', '엠카 직캠', 'Meltin FANCAM', 'Meltin', '팬캠', 'fancam', 'mnet', '세븐틴', '에스쿱스', '정한', '조슈아', '준', '호시', '원우', '우지', '디에잇', '민규', '도겸', '승관', '버논', '디노', '세븐틴 월드', 'seventeen super', 'super', 'seventeen 손오공', '세븐틴 손오공', '손오공', 'seventeen fancam', '세븐틴 직캠', 'scoups', 'jeonghan', 'joshua', 'jun', 'hoshi', 'wonwoo', 'woozi', 'the8', 'mingyu', 'dk', 'seungkwan', 'vernon', 'dino']"
5,누나의 친구들,23,1445611,29377,0,NaN,2023-04-28T09:00:16Z,456,"['숏박스', '스케치코미디', '개그']"
6,성시경의 먹을텐데 l 논현동 홍명 1탄 (with. 싸이),24,1255623,23773,0,NaN,2023-04-26T09:00:09Z,1335,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '싸이', '강남스타일', 'psy', 'bts', 'spy', '신동엽', '강남', '홍명', '맛집', '백만유튜버', '월드스타', '윤종신', '수제만두', '만두맛집', '군만두', '찐만두', '박재상', '먹을텐데', '먹텐', '먹방', '논현동', '방탄소년단', '정수리', '100', '1900백만', '본업', '가수', '요리사', '난자완스']"
7,성시경의 먹을텐데 l 논현동 홍명 2탄 (with. 싸이),24,669281,14422,0,NaN,2023-04-27T09:00:10Z,1442,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '싸이', '강남스타일', 'psy', '나이트', '고량주', '중식당', '간짜장', '짬뽕', '난자완스', '가지튀김', '낙지', '정력', '정자', '먹방', '신동엽', '빨간색', '홍명', '논현동', '강남']"
8,SEVENTEEN (세븐틴) '손오공' Official MV,10,34590290,1320820,0,NaN,2023-04-24T08:58:11Z,213,"['HYBE', 'HYBE LABELS', '하이브', '하이브레이블즈']"
9,[밥묵자] 카지노의 존이 왜 여기서 나와?(feat. 김민),23,1657342,29583,0,NaN,2023-04-26T09:00:31Z,1027,"['꼰대희', '김대희', '밥묵자', '스케치코미디', '숏박스', '싱글벙글', '먹방', '코미디', '꽁트', '콩트']"
