video_id,video_title
jOe01T2w5KM,사대문 1등 매운맛 북촌에서 찾았습니다   또간집 EP.26
u9Y3hZ9UP9I,이게 맞아..? 강원도 원주 로컬만 아는 이색 찐맛집   또간집 EP.25
fIT9Cmwgsf4,맛집 없다는 코엑스에서 찐맛집 찾았습니다 (BTS 정국  정우성  전지현  수지 맛집..?)   또간집 EP.24
RUlVG0A5nqY,강원도 혹한기 칼바람 뚫고 속초 찐맛집 찾아냈습니다   또간집 EP.23
5ruq2d2RYew,인천 주민 풍자도 몰랐던 로컬 찐맛집   또간집 EP.22
9F9a_fFx45o,먹자마자 입이 떡 벌어지는 엄청난 대전 찐맛집ㅣEP.21
yfIdshA0m2Y,또간집 최초 재방문  망원동 맛집 쥐 잡듯 뒤졌습니다   또간집 EP.20
zrLdC7aYy64,맛의 고장 전라도에서 환장하고 먹고 왔습니다   또간집 EP.19
HAMf-G6GXIQ,목포 찐맛집 통째로 씹어먹고 옴   또간집 EP.18
UdHTfzp0MtE,최고의 압구정 찐맛집을 찾기위한 양보없는 한판   또간집 EP.17
pgpqzM7Gow8,잠실 주민들만 가는 찐로컬 맛집ㅣ또간집 EP.16
kRcxpbN4hCg,진짜 수원인만 아는 로컬 맛집 다 털었다   또간집 EP.15
j4JL8Ru8ip4,풍자 마음도 훔친 밥 네 공기 가능한 집    또간집 EP.14
Ame-nCgZh64,홍대에서 술또라이 되기 딱 좋은 곳    또간집 EP.13
at9VhOO_YcM,이태원 맛집 종결   또간집 EP.12
3flBnJ7gfGU,을지로 새삥 맛집 3대장   또간집 EP.11
he0KEFFhvvA,강남 프랜차이즈 속에서 30년 살아남은 맛집   또간집 EP.10
l2X2e0Z-Rec,부산 맛집 직이네   또간집 EP.9
imAj43bW5xk,대구 맛집 싹 쓸었습니다   또간집 EP.8
VnzT22sKiaM,풍자 망원동 맛집 종결   또간집 EP.7
PPpRJPTPAGM,문래동 2시간만에 완판되는 국밥집    또간집 EP.6
VGJHgah3JUI,신촌 맛집 이걸로 끝   또간집 EP.5
2oR5DxKCjuM,방송 출연 절대 안 하는 성수동 맛집 최초 공개   또간집 EP.4
eU0b0BgrfsE,풍자 광장시장 모든 맛집 먹방   또간집 EP.3
2FOrZvdv-P8,한남동 주민만 안다는 찐맛집   또간집 EP.2
13fi46HgCKw,풍자 연남동 맛집 종결   또간집 EP.1
KpQz81Yg7ao,풍자가 각잡고 맛집 프로하면 생기는 일   또간집 EP.0
