video_id,video_title
iEHGHNnmbNo,[SUB][세계여행]🇨🇦EP.45 23시간 캐나다 레이오버를 하다.(What happened during the Canadian Layover for 23 hours.)
GraqzpBqDrY,[SUB][세계여행]🇨🇺EP.46 인도 보다 강렬한 트래블러 촬영지 쿠바의 첫 인상 (First impression of Cuba  more intense than India.)
lYpdR__KKKQ,[SUB][세계여행]🇨🇺EP.47 쿠바 사람들이 아침마다 2시간 씩 줄을 서는 이유? (Why do Cubans line up for two hours every morning?)
0Dz-EJlBaAQ,[SUB][세계여행]🇨🇺EP.48 트래블러 이제훈과 류준열도 다녀간 쿠바의 작은 해변 마을 '플라야 히론'
6I31_Z2axCI,[SUB][세계여행]🇨🇺EP.49 쿠바 현지인이 알려주는 밤 낚시 법(Night fishing methods taught by Cuban locals)
8Qa68iBkOj0,[SUB][세계여행]🇨🇺EP.50 한국인과 쿠바인의 말할 수 없는 비밀(the unspeakable secrets of Koreans and Cubans)
lEvpO-rkZPk,[SUB][세계여행]🇨🇺EP.51 애정하는 나의 도시 쿠바 안녕 (SEE YOU AGAIN MY CUBA)
m7B6Ja2ajgc,내 인생 최고의 초호화 럭셔리 퍼스트 클래스 탑승기 - 특별판 〔1〕
7vrNee_KvM4,브라질에서 가장 핫한 삼바 클럽 방문 해보기 - 특별판 〔2〕
ITprmT2Gv4s,세계 3대 축제 브라질 카니발 축제 방문기 - 특별판 〔3〕
_7xA-jRg9Eg,브라질의 관광지 물가와 로컬 물가 알아보기 - 특별판 〔4〕
qDcrBLiUH5w,미국 최고의 휴양지  플로리다 마이애미 1박 2일 방문기 - 특별판 〔마지막 편〕
gSWOmXJrxts,차 없이 힘들다는 LA  대중교통으로 여행하기 - 미국 〔01〕
cVo2A5THhkk,내가 미국 한 달 여행을 혼자 캠핑카로 하는 이유 - 미국 〔02〕
kW9MDBx7PZU,처음 만난 미국 Z세대의 집에 초대 받은 날 - 미국 〔03〕
QHNm9xpG8KM,1 000억짜리 집이 있는 LA의 부촌과 악명 높은 슬럼가 가 보기 - 미국 〔04〕
6PI2msdhEq4,미국에서 가장 큰 월마트 vs 세계에서 가장 큰 한인마트 - 미국 〔05〕
4Jnd9RqxQjQ,나홀로 미국 캠핑카 한 달 살이 - 미국 〔06〕
bOoOASMKp1w,미국의 지구 밖 행성 개척지 프로젝트 - 미국 〔07〕
f1lgkB6bFp4,한국인 없는 미서부에서 캠핑카가 고장났을 때 미국인들의 놀라운 반응 - 미국 〔08〕
OT9Dy9SuLYI,두 얼굴의 도시  라스베이거스 낮과 밤 즐기기 - 미국 〔09〕
thyLPEiS9bw,인적 드문 미국 시골 마을의 유령 모텔 투숙기 - 미국 〔10〕
MPWxoLPHDoU,공짜 없는 자본주의 미국의 무료 온천 가보기 - 미국 〔11〕
2zoKVg-S-Qk,미국 솔로 캠핑카 로드트립을 포기하는 이유 - 미국 〔12〕
-p80Ot8ocAo,GTA 실사판 무법자들의 도시 샌프란시스코 - 미국 〔13〕
_LkDzgNdI1I,실리콘밸리 구글 본사에 초대받아 가보기 - 미국 〔14〕
bC7GN-Z-Evg,미국 24시간 휴게소에서 24시간 보내기 - 미국 〔15〕
U7Jb-4FTwwk,비즈니스 커플의 LA 나들이 (ft.원지의하루) - 미국 〔16〕
HNSq1Qw9bSE,뉴욕행 퍼스트 클래스 버스 탑승기 - 미국 〔17〕
