,id,date,duration,views,likes,category_id,hour,update_diff
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,758306,17114,26,9,74
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,759457,17133,26,10,75
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,761037,17158,26,11,76
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,762152,17174,26,12,77
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,763304,17193,26,13,78
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,764607,17224,26,14,79
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,765884,17250,26,15,80
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,767673,17288,26,16,81
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,768551,17324,26,17,82
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,768872,17378,26,18,83
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,773291,17417,26,19,84
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,773654,17461,26,20,85
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,774641,17504,26,21,86
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,777150,17568,26,22,87
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,779764,17630,26,23,88
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,782711,17671,26,0,89
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,786023,17733,26,1,90
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,789754,17776,26,2,91
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,793896,17805,26,3,92
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,800405,17827,26,4,93
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,804270,17852,26,5,94
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,805152,17873,26,6,95
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,806312,17898,26,7,96
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,807417,17935,26,8,97
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,808351,17978,26,9,98
0,Ne1wAVhKnZA,2023-05-13T07:23:44Z,719,810263,18011,26,10,99
