,id,date,duration,views,likes,category_id,hour,update_diff
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,120915,1353,26,16,347
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,120977,1355,26,17,348
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,121127,1357,26,18,349
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,121258,1357,26,19,350
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,121343,1357,26,20,351
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,121421,1359,26,21,352
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,121483,1362,26,22,353
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,121567,1363,26,23,354
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,121672,1363,26,0,355
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,121840,1363,26,1,356
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,121905,1364,26,2,357
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,121966,1364,26,3,358
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122012,1365,26,4,359
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122054,1366,26,5,360
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122078,1367,26,6,361
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122121,1370,26,7,362
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122155,1372,26,8,363
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122242,1373,26,9,364
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122330,1376,26,10,365
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122440,1377,26,11,366
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122550,1378,26,12,367
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122663,1378,26,13,368
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122785,1381,26,14,369
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122868,1382,26,15,370
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,122968,1384,26,16,371
0,NZ-eJRHktmU,2023-05-11T05:00:07Z,521,123021,1385,26,17,372
