,id,date,duration,views,likes,category_id,hour,update_diff
0,nkUkDl3_su4,2023-05-03T09:00:27Z,1810,809681,30382,24,23,494
0,nkUkDl3_su4,2023-05-03T09:00:27Z,1810,809944,30385,24,0,495
0,nkUkDl3_su4,2023-05-03T09:00:27Z,1810,810159,30388,24,1,496
0,nkUkDl3_su4,2023-05-03T09:00:27Z,1810,810347,30390,24,2,497
0,nkUkDl3_su4,2023-05-03T09:00:27Z,1810,810588,30394,24,3,498
0,nkUkDl3_su4,2023-05-03T09:00:27Z,1810,810752,30396,24,4,499
0,nkUkDl3_su4,2023-05-03T09:00:27Z,1810,810905,30397,24,5,500
0,nkUkDl3_su4,2023-05-03T09:00:27Z,1810,811050,30396,24,6,501
0,nkUkDl3_su4,2023-05-03T09:00:27Z,1810,811133,30397,24,7,502
0,nkUkDl3_su4,2023-05-03T09:00:27Z,1810,811191,30400,24,8,503
