,id,date,duration,views,likes,category_id,hour,update_diff
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,476660,10270,24,20,177
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,477503,10303,24,21,178
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,478646,10365,24,22,179
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,479332,10429,24,23,180
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,481347,10472,24,0,181
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,483966,10501,24,1,182
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,486046,10519,24,2,183
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,488455,10533,24,3,184
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,489478,10537,24,4,185
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,490725,10541,24,5,186
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,491153,10544,24,6,187
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,491508,10558,24,7,188
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,491719,10570,24,8,189
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,492064,10592,24,9,190
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,492852,10611,24,10,191
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,493640,10623,24,11,192
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,494665,10635,24,12,193
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,495513,10658,24,13,194
0,ZkzqT40my3w,2023-05-15T11:00:31Z,606,496536,10678,24,14,195
