,id,date,duration,views,likes,category_id,hour,update_diff
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,653892,8443,24,20,681
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,654176,8444,24,21,682
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,654547,8449,24,22,683
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,654747,8450,24,23,684
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,655134,8459,24,0,685
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,655543,8461,24,1,686
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,655885,8464,24,2,687
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,656263,8466,24,3,688
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,656418,8467,24,4,689
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,656656,8468,24,5,690
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,656758,8469,24,6,691
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,656846,8469,24,7,692
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,656935,8470,24,8,693
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,657096,8474,24,9,694
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,657499,8478,24,10,695
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,657836,8480,24,11,696
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,658185,8483,24,12,697
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,658523,8486,24,13,698
0,l-k5Hhg8R3s,2023-04-24T11:05:13Z,562,658882,8489,24,14,699
