,id,date,duration,views,likes,category_id,hour,update_diff
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2387866,33292,23,19,490
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2389982,33298,23,20,491
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2391747,33315,23,21,492
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2393349,33333,23,22,493
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2395175,33343,23,23,494
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2396560,33355,23,0,495
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2398526,33361,23,1,496
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2399747,33361,23,2,497
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2401419,33368,23,3,498
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2402233,33368,23,4,499
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2402906,33369,23,5,500
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2403243,33369,23,6,501
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2403547,33371,23,7,502
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2403754,33373,23,8,503
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2404070,33383,23,9,504
0,UaifuwEgOh4,2023-05-04T09:00:14Z,352,2404649,33387,23,10,505
