,id,date,duration,views,likes,category_id,hour,update_diff
0,N1TM3c7RTs8,2023-04-30T03:00:11Z,156,248965,3099,23,23,572
0,N1TM3c7RTs8,2023-04-30T03:00:11Z,156,249043,3100,23,0,573
0,N1TM3c7RTs8,2023-04-30T03:00:11Z,156,249100,3100,23,1,574
0,N1TM3c7RTs8,2023-04-30T03:00:11Z,156,249139,3100,23,2,575
0,N1TM3c7RTs8,2023-04-30T03:00:11Z,156,249193,3101,23,3,576
0,N1TM3c7RTs8,2023-04-30T03:00:11Z,156,249225,3101,23,4,577
0,N1TM3c7RTs8,2023-04-30T03:00:11Z,156,249251,3101,23,5,578
0,N1TM3c7RTs8,2023-04-30T03:00:11Z,156,249279,3101,23,6,579
0,N1TM3c7RTs8,2023-04-30T03:00:11Z,156,249283,3101,23,7,580
0,N1TM3c7RTs8,2023-04-30T03:00:11Z,156,249290,3101,23,8,581
