,id,date,duration,views,likes,category_id,hour,update_diff
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,44135,393,20,0,169
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,44292,393,20,1,170
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,44447,393,20,2,171
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,44603,395,20,3,172
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,44789,395,20,4,173
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,44954,395,20,5,174
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,45082,395,20,6,175
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,45167,395,20,7,176
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,45242,395,20,8,177
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,45287,395,20,9,178
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,45330,395,20,10,179
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,45397,395,20,11,180
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,45501,397,20,12,181
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,45649,399,20,13,182
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,45786,401,20,14,183
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,45973,405,20,15,184
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,46143,405,20,16,185
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,46276,411,20,17,186
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,46484,411,20,18,187
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,46711,412,20,19,188
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,46789,414,20,20,189
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,47008,416,20,21,190
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,47133,419,20,22,191
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,47322,418,20,23,192
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,47481,418,20,0,193
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,47664,420,20,1,194
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,47824,420,20,2,195
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,48005,421,20,3,196
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,48139,420,20,4,197
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,48281,420,20,5,198
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,48386,421,20,6,199
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,48483,421,20,7,200
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,48540,421,20,8,201
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,48583,421,20,9,202
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,48677,421,20,10,203
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,48773,421,20,11,204
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,48842,421,20,12,205
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,48930,421,20,13,206
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,49074,423,20,14,207
0,5C1zyOL8iyE,2023-05-13T23:12:17Z,32721,49155,423,20,15,208
