,id,date,duration,views,likes,category_id,hour,update_diff
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,122858,1788,17,19,70
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,122886,1790,17,20,71
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,122906,1790,17,21,72
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,122924,1791,17,22,73
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,122949,1791,17,23,74
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,122973,1791,17,0,75
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,123034,1791,17,1,76
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,123067,1793,17,2,77
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,123105,1793,17,3,78
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,123127,1793,17,4,79
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,123146,1793,17,5,80
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,123155,1793,17,6,81
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,123167,1793,17,7,82
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,123171,1793,17,8,83
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,123180,1793,17,9,84
0,HXa85dTaXDM,2023-05-21T21:00:10Z,646,123196,1793,17,10,85
