,date,duration,views,likes,category_id,hour,update_diff,id
81JOj5-xNGc,2023-05-03T16:00:07Z,145,1765333,9196,1,10,283,
81JOj5-xNGc,2023-05-03T16:00:07Z,145,1765417,9198,1,11,284,
81JOj5-xNGc,2023-05-03T16:00:07Z,145,1765543,9203,1,12,285,
81JOj5-xNGc,2023-05-03T16:00:07Z,145,1765697,9204,1,13,286,
81JOj5-xNGc,2023-05-03T16:00:07Z,145,1765851,9204,1,15,287,
81JOj5-xNGc,2023-05-03T16:00:07Z,145,1766028,9205,1,16,288,
81JOj5-xNGc,2023-05-03T16:00:07Z,145,1766142,9209,1,17,289,
0,2023-05-03T16:00:07Z,145,1766385,9212,1,18,290,81JOj5-xNGc
0,2023-05-03T16:00:07Z,145,1766555,9213,1,19,291,81JOj5-xNGc
0,2023-05-03T16:00:07Z,145,1766724,9215,1,20,292,81JOj5-xNGc
0,2023-05-03T16:00:07Z,145,1766929,9216,1,21,293,81JOj5-xNGc
0,2023-05-03T16:00:07Z,145,1767107,9217,1,22,294,81JOj5-xNGc
0,2023-05-03T16:00:07Z,145,1767322,9217,1,23,295,81JOj5-xNGc
0,2023-05-03T16:00:07Z,145,1767548,9222,1,0,296,81JOj5-xNGc
0,2023-05-03T16:00:07Z,145,1767815,9225,1,1,297,81JOj5-xNGc
