,id,date,duration,views,likes,category_id,hour,update_diff
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1224249,17636,23,16,469
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1224446,17635,23,17,470
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1224780,17636,23,18,471
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1225034,17640,23,19,472
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1225348,17643,23,20,473
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1225646,17648,23,21,474
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1225887,17651,23,22,475
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1226194,17657,23,23,476
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1226552,17662,23,0,477
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1226935,17665,23,1,478
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1227251,17666,23,2,479
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1227575,17667,23,3,480
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1227871,17669,23,4,481
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1228055,17671,23,5,482
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1228164,17672,23,6,483
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1228267,17673,23,7,484
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1228301,17674,23,8,485
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1228361,17674,23,9,486
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1228487,17675,23,10,487
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1228629,17677,23,11,488
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1228762,17679,23,12,489
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1228911,17679,23,13,490
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1229109,17679,23,14,491
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1229308,17681,23,15,492
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1229543,17681,23,16,493
0,YZYoRLfaUzo,2023-05-06T03:00:28Z,230,1229685,17685,23,17,494
