,date,duration,views,likes,category_id,hour,update_diff,id
jW9UTA6rsX0,2023-05-14T09:00:33Z,612,87926,1250,20,10,25,
jW9UTA6rsX0,2023-05-14T09:00:33Z,612,89698,1262,20,11,26,
jW9UTA6rsX0,2023-05-14T09:00:33Z,612,90943,1271,20,12,27,
jW9UTA6rsX0,2023-05-14T09:00:33Z,612,92509,1293,20,13,28,
jW9UTA6rsX0,2023-05-14T09:00:33Z,612,94202,1304,20,14,29,
jW9UTA6rsX0,2023-05-14T09:00:33Z,612,95597,1313,20,15,30,
jW9UTA6rsX0,2023-05-14T09:00:33Z,612,96992,1335,20,16,31,
jW9UTA6rsX0,2023-05-14T09:00:33Z,612,97859,1346,20,17,32,
0,2023-05-14T09:00:33Z,612,99416,1363,20,18,33,jW9UTA6rsX0
0,2023-05-14T09:00:33Z,612,101507,1382,20,19,34,jW9UTA6rsX0
0,2023-05-14T09:00:33Z,612,103217,1390,20,20,35,jW9UTA6rsX0
0,2023-05-14T09:00:33Z,612,104750,1400,20,21,36,jW9UTA6rsX0
0,2023-05-14T09:00:33Z,612,106260,1411,20,22,37,jW9UTA6rsX0
0,2023-05-14T09:00:33Z,612,107546,1417,20,23,38,jW9UTA6rsX0
0,2023-05-14T09:00:33Z,612,108798,1421,20,0,39,jW9UTA6rsX0
0,2023-05-14T09:00:33Z,612,110091,1424,20,1,40,jW9UTA6rsX0
