,id,date,duration,views,likes,category_id,hour,update_diff
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,348896,10439,22,19,610
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,349058,10440,22,20,611
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,349182,10440,22,21,612
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,349324,10440,22,22,613
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,349450,10440,22,23,614
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,349544,10440,22,0,615
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,349748,10442,22,1,616
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,349883,10444,22,2,617
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,350066,10443,22,3,618
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,350182,10446,22,4,619
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,350319,10447,22,5,620
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,350394,10447,22,6,621
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,350468,10450,22,7,622
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,350506,10451,22,8,623
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,350562,10451,22,9,624
0,IFKyaHsRIVQ,2023-04-29T09:25:09Z,596,350707,10453,22,10,625
