,id,date,duration,views,likes,category_id,hour,update_diff
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,196848,2052,1,20,467
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,197046,2054,1,21,468
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,197357,2054,1,22,469
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,197593,2059,1,23,470
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,197984,2063,1,0,471
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,198445,2069,1,1,472
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,198819,2071,1,2,473
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,199349,2073,1,3,474
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,199622,2073,1,4,475
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,199936,2073,1,5,476
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,200030,2073,1,6,477
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,200099,2075,1,7,478
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,200133,2076,1,8,479
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,200205,2077,1,9,480
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,200377,2079,1,10,481
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,200534,2080,1,11,482
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,200677,2082,1,12,483
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,200801,2083,1,13,484
0,SvrWCB40mnk,2023-05-03T09:00:10Z,651,200922,2083,1,14,485
