,id,date,duration,views,likes,category_id,hour,update_diff
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,337725,12209,10,0,159
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,339344,12235,10,1,160
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,340574,12254,10,2,161
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,341780,12267,10,3,162
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,342832,12274,10,4,163
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,343769,12283,10,5,164
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,344282,12284,10,6,165
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,344637,12286,10,7,166
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,344898,12294,10,8,167
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,345116,12304,10,9,168
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,345487,12319,10,10,169
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,346032,12340,10,11,170
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,346846,12362,10,12,171
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,347884,12380,10,13,172
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,348971,12411,10,14,173
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,350476,12431,10,15,174
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,351534,12453,10,16,175
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,352728,12474,10,17,176
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,354360,12506,10,18,177
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,355964,12524,10,19,178
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,356690,12546,10,20,179
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,358477,12567,10,21,180
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,359611,12597,10,22,181
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,361350,12633,10,23,182
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,362814,12650,10,0,183
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,364397,12667,10,1,184
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,365487,12674,10,2,185
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,366931,12684,10,3,186
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,367840,12689,10,4,187
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,368591,12692,10,5,188
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,368981,12695,10,6,189
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,369289,12700,10,7,190
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,369479,12708,10,8,191
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,369654,12716,10,9,192
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,370459,12724,10,10,193
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,371489,12736,10,11,194
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,371923,12744,10,12,195
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,372598,12754,10,13,196
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,373471,12762,10,14,197
0,6iZyquKcpzg,2023-05-14T09:00:09Z,347,373870,12768,10,15,198
