,id,date,duration,views,likes,category_id,hour,update_diff
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,682907,19606,10,0,662
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,683339,19610,10,1,663
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,683460,19611,10,2,664
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,683809,19612,10,3,665
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,684008,19613,10,4,666
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,684258,19614,10,5,667
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,684524,19614,10,6,668
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,684563,19614,10,7,669
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,684659,19614,10,8,670
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,684531,19615,10,9,671
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,684580,19615,10,10,672
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,684733,19616,10,11,673
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,684915,19616,10,12,674
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,685138,19619,10,13,675
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,685454,19621,10,14,676
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,685712,19623,10,15,677
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,685944,19625,10,16,678
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,686179,19626,10,17,679
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,686473,19628,10,18,680
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,686829,19628,10,19,681
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,686999,19628,10,20,682
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,687628,19627,10,21,683
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,687796,19631,10,22,684
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,688280,19634,10,23,685
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,688483,19638,10,0,686
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,688649,19639,10,1,687
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,688740,19640,10,2,688
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,689023,19641,10,3,689
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,689248,19643,10,4,690
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,689492,19643,10,5,691
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,689573,19643,10,6,692
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,689573,19643,10,7,693
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,689573,19643,10,8,694
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,689596,19647,10,9,695
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,689962,19647,10,10,696
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,690430,19647,10,11,697
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,690727,19649,10,12,698
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,691035,19652,10,13,699
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,691401,19655,10,14,700
0,sP0E6y0gWxA,2023-04-23T10:00:11Z,198,691583,19655,10,15,701
