,id,date,duration,views,likes,category_id,hour,update_diff
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,700688,14408,22,20,132
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,702200,14432,22,21,133
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,704278,14460,22,22,134
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,705508,14487,22,23,135
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,707298,14517,22,0,136
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,709162,14538,22,1,137
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,710686,14553,22,2,138
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,712765,14560,22,3,139
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,713678,14567,22,4,140
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,714915,14574,22,5,141
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,715360,14576,22,6,142
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,715693,14582,22,7,143
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,715866,14589,22,8,144
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,716089,14596,22,9,145
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,716552,14602,22,10,146
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,716983,14604,22,11,147
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,717466,14610,22,12,148
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,717902,14621,22,13,149
0,evB1OdIFj_I,2023-05-17T08:00:15Z,891,718443,14637,22,14,150
