,date,duration,views,likes,category_id,hour,update_diff,id
F5q3XeHaPE0,2023-05-14T01:00:08Z,565,18317,740,26,10,33,
F5q3XeHaPE0,2023-05-14T01:00:08Z,565,18459,744,26,11,34,
F5q3XeHaPE0,2023-05-14T01:00:08Z,565,18571,749,26,12,35,
F5q3XeHaPE0,2023-05-14T01:00:08Z,565,18702,752,26,13,36,
F5q3XeHaPE0,2023-05-14T01:00:08Z,565,18865,755,26,14,37,
F5q3XeHaPE0,2023-05-14T01:00:08Z,565,19017,760,26,15,38,
F5q3XeHaPE0,2023-05-14T01:00:08Z,565,19166,764,26,16,39,
F5q3XeHaPE0,2023-05-14T01:00:08Z,565,19237,768,26,17,40,
0,2023-05-14T01:00:08Z,565,19396,772,26,18,41,F5q3XeHaPE0
0,2023-05-14T01:00:08Z,565,19551,775,26,19,42,F5q3XeHaPE0
0,2023-05-14T01:00:08Z,565,19650,781,26,20,43,F5q3XeHaPE0
0,2023-05-14T01:00:08Z,565,19790,785,26,21,44,F5q3XeHaPE0
0,2023-05-14T01:00:08Z,565,19921,792,26,22,45,F5q3XeHaPE0
0,2023-05-14T01:00:08Z,565,20042,797,26,23,46,F5q3XeHaPE0
0,2023-05-14T01:00:08Z,565,20176,803,26,0,47,F5q3XeHaPE0
0,2023-05-14T01:00:08Z,565,20328,805,26,1,48,F5q3XeHaPE0
