,id,date,duration,views,likes,category_id,hour,update_diff
0,ehPIulAT9PU,2023-05-12T09:00:33Z,449,3546380,87981,23,23,278
0,ehPIulAT9PU,2023-05-12T09:00:33Z,449,3548224,88001,23,0,279
0,ehPIulAT9PU,2023-05-12T09:00:33Z,449,3549541,88014,23,1,280
0,ehPIulAT9PU,2023-05-12T09:00:33Z,449,3550888,88021,23,2,281
0,ehPIulAT9PU,2023-05-12T09:00:33Z,449,3552663,88035,23,3,282
0,ehPIulAT9PU,2023-05-12T09:00:33Z,449,3553815,88040,23,4,283
0,ehPIulAT9PU,2023-05-12T09:00:33Z,449,3554548,88045,23,5,284
0,ehPIulAT9PU,2023-05-12T09:00:33Z,449,3555057,88050,23,6,285
0,ehPIulAT9PU,2023-05-12T09:00:33Z,449,3555270,88054,23,7,286
0,ehPIulAT9PU,2023-05-12T09:00:33Z,449,3555445,88057,23,8,287
