,id,date,duration,views,likes,category_id,hour,update_diff
0,ByQTpfO5nSA,2023-05-10T03:00:07Z,27,395014,14499,23,23,332
0,ByQTpfO5nSA,2023-05-10T03:00:07Z,27,395601,14513,23,0,333
0,ByQTpfO5nSA,2023-05-10T03:00:07Z,27,396005,14519,23,1,334
0,ByQTpfO5nSA,2023-05-10T03:00:07Z,27,396324,14508,23,2,335
0,ByQTpfO5nSA,2023-05-10T03:00:07Z,27,396709,14510,23,3,336
0,ByQTpfO5nSA,2023-05-10T03:00:07Z,27,396908,14512,23,4,337
0,ByQTpfO5nSA,2023-05-10T03:00:07Z,27,397044,14512,23,5,338
0,ByQTpfO5nSA,2023-05-10T03:00:07Z,27,397168,14514,23,6,339
0,ByQTpfO5nSA,2023-05-10T03:00:07Z,27,397234,14516,23,7,340
0,ByQTpfO5nSA,2023-05-10T03:00:07Z,27,397282,14520,23,8,341
