,date,duration,views,likes,category_id,hour,update_diff,id
LbU5WMMuyjs,2023-05-14T09:00:11Z,1480,186873,3360,23,10,25,
LbU5WMMuyjs,2023-05-14T09:00:11Z,1480,192937,3424,23,11,26,
LbU5WMMuyjs,2023-05-14T09:00:11Z,1480,198080,3489,23,12,27,
LbU5WMMuyjs,2023-05-14T09:00:11Z,1480,203455,3582,23,13,28,
LbU5WMMuyjs,2023-05-14T09:00:11Z,1480,209297,3654,23,14,29,
LbU5WMMuyjs,2023-05-14T09:00:11Z,1480,216159,3710,23,15,30,
LbU5WMMuyjs,2023-05-14T09:00:11Z,1480,222717,3781,23,16,31,
LbU5WMMuyjs,2023-05-14T09:00:11Z,1480,226397,3828,23,17,32,
0,2023-05-14T09:00:11Z,1480,232091,3881,23,18,33,LbU5WMMuyjs
0,2023-05-14T09:00:11Z,1480,235938,3939,23,19,34,LbU5WMMuyjs
0,2023-05-14T09:00:11Z,1480,239475,3987,23,20,35,LbU5WMMuyjs
0,2023-05-14T09:00:11Z,1480,244130,4027,23,21,36,LbU5WMMuyjs
0,2023-05-14T09:00:11Z,1480,248170,4068,23,22,37,LbU5WMMuyjs
0,2023-05-14T09:00:11Z,1480,251775,4120,23,23,38,LbU5WMMuyjs
0,2023-05-14T09:00:11Z,1480,255391,4183,23,0,39,LbU5WMMuyjs
0,2023-05-14T09:00:11Z,1480,260347,4232,23,1,40,LbU5WMMuyjs
