,id,date,duration,views,likes,category_id,hour,update_diff
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20687,283,17,0,157
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20707,283,17,1,158
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20737,283,17,2,159
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20769,283,17,3,160
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20799,284,17,4,161
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20818,284,17,5,162
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20839,284,17,6,163
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20850,284,17,7,164
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20859,284,17,8,165
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20861,285,17,9,166
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20869,285,17,10,167
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20881,285,17,11,168
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20900,285,17,12,169
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20910,285,17,13,170
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20927,286,17,14,171
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20953,286,17,15,172
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20963,286,17,16,173
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,20980,286,17,17,174
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21001,286,17,18,175
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21022,287,17,19,176
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21034,287,17,20,177
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21058,287,17,21,178
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21076,287,17,22,179
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21095,287,17,23,180
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21105,287,17,0,181
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21124,287,17,1,182
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21137,287,17,2,183
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21151,287,17,3,184
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21160,287,17,4,185
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21174,287,17,5,186
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21184,287,17,6,187
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21189,287,17,7,188
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21194,287,17,8,189
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21194,287,17,9,190
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21204,288,17,10,191
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21218,288,17,11,192
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21227,288,17,12,193
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21261,288,17,13,194
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21290,288,17,14,196
0,pVLP1Ye85Tw,2023-05-14T10:42:35Z,620,21301,289,17,15,196
