,date,duration,views,likes,category_id,hour,update_diff,id
jizPuU5mxHg,2023-05-15T04:09:48Z,1230,14679,331,20,10,10,
jizPuU5mxHg,2023-05-15T04:09:48Z,1230,24394,619,20,15,11,
jizPuU5mxHg,2023-05-15T04:09:48Z,1230,33304,879,20,16,12,
jizPuU5mxHg,2023-05-15T04:09:48Z,1230,42746,1119,20,17,13,
0,2023-05-15T04:09:48Z,1230,56268,1347,20,18,14,jizPuU5mxHg
0,2023-05-15T04:09:48Z,1230,67553,1549,20,19,15,jizPuU5mxHg
0,2023-05-15T04:09:48Z,1230,79076,1723,20,20,16,jizPuU5mxHg
0,2023-05-15T04:09:48Z,1230,92216,1863,20,21,17,jizPuU5mxHg
0,2023-05-15T04:09:48Z,1230,104804,1974,20,22,18,jizPuU5mxHg
0,2023-05-15T04:09:48Z,1230,114815,2078,20,23,19,jizPuU5mxHg
0,2023-05-15T04:09:48Z,1230,123125,2170,20,0,20,jizPuU5mxHg
0,2023-05-15T04:09:48Z,1230,133033,2243,20,1,21,jizPuU5mxHg
