,id,date,duration,views,likes,category_id,hour,update_diff
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,182095,5614,22,9,49
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,182387,5626,22,10,50
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,182784,5636,22,11,51
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,183113,5645,22,12,52
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,183574,5653,22,13,53
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,184183,5659,22,14,54
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,184735,5670,22,15,55
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,185266,5681,22,16,56
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,185512,5691,22,17,57
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,185541,5707,22,18,58
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,186549,5728,22,19,59
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,186695,5747,22,20,60
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,186995,5769,22,21,61
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,187535,5792,22,22,62
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,188384,5810,22,23,63
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,189311,5831,22,0,64
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,190286,5849,22,1,65
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,191323,5859,22,2,66
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,192464,5867,22,3,67
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,194731,5870,22,4,68
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,195996,5873,22,5,69
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,196252,5874,22,6,70
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,196608,5878,22,7,71
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,196909,5879,22,8,72
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,197120,5885,22,9,73
0,YcugHNWsY5I,2023-05-14T08:00:14Z,518,197383,5894,22,10,74
