,id,date,duration,views,likes,category_id,hour,update_diff
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,387077,6743,1,16,417
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,387236,6742,1,17,418
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,387428,6743,1,18,419
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,387634,6750,1,19,420
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,387826,6751,1,20,421
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,387995,6756,1,21,422
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,388169,6759,1,22,423
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,388393,6766,1,23,424
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,388573,6769,1,0,425
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,388839,6773,1,1,426
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,389022,6773,1,2,427
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,389281,6774,1,3,428
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,389459,6776,1,4,429
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,389588,6778,1,5,430
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,389665,6779,1,6,431
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,389719,6779,1,7,432
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,389741,6780,1,8,433
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,389797,6782,1,9,434
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,389904,6783,1,10,435
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,390038,6785,1,11,436
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,390168,6787,1,12,437
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,390292,6792,1,13,438
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,390436,6796,1,14,439
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,390616,6796,1,15,440
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,390816,6797,1,16,441
0,D120z_WOGZ4,2023-05-08T06:57:51Z,1643,390928,6799,1,17,442
