,id,date,duration,views,likes,category_id,hour,update_diff
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,590628,30850,24,19,586
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,590711,30852,24,20,587
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,590792,30854,24,21,588
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,590852,30857,24,22,589
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,590901,30860,24,23,590
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,590983,30861,24,0,591
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,591110,30860,24,1,592
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,591189,30864,24,2,593
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,591290,30864,24,3,594
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,591356,30866,24,4,595
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,591422,30868,24,5,596
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,591450,30868,24,6,597
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,591493,30868,24,7,598
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,591515,30870,24,8,599
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,591544,30873,24,9,600
0,I8q9B9s368o,2023-04-30T09:00:08Z,1154,591565,30876,24,10,601
