,date,duration,views,likes,category_id,hour,update_diff,id
tZDrZds8UTs,2023-05-09T09:15:03Z,634,212559,2304,24,10,145,
tZDrZds8UTs,2023-05-09T09:15:03Z,634,212660,2303,24,11,146,
tZDrZds8UTs,2023-05-09T09:15:03Z,634,212749,2304,24,12,147,
tZDrZds8UTs,2023-05-09T09:15:03Z,634,212885,2306,24,13,148,
tZDrZds8UTs,2023-05-09T09:15:03Z,634,213059,2306,24,14,149,
tZDrZds8UTs,2023-05-09T09:15:03Z,634,213282,2307,24,15,150,
tZDrZds8UTs,2023-05-09T09:15:03Z,634,213466,2312,24,16,151,
tZDrZds8UTs,2023-05-09T09:15:03Z,634,213609,2315,24,17,152,
0,2023-05-09T09:15:03Z,634,213836,2316,24,18,153,tZDrZds8UTs
0,2023-05-09T09:15:03Z,634,214063,2320,24,19,154,tZDrZds8UTs
0,2023-05-09T09:15:03Z,634,214397,2328,24,20,155,tZDrZds8UTs
0,2023-05-09T09:15:03Z,634,214814,2333,24,21,156,tZDrZds8UTs
0,2023-05-09T09:15:03Z,634,215355,2336,24,22,157,tZDrZds8UTs
0,2023-05-09T09:15:03Z,634,215810,2341,24,23,158,tZDrZds8UTs
0,2023-05-09T09:15:03Z,634,216197,2348,24,0,159,tZDrZds8UTs
0,2023-05-09T09:15:03Z,634,216700,2352,24,1,160,tZDrZds8UTs
