,id,date,duration,views,likes,category_id,hour,update_diff
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,506380,3328,15,16,727
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,506430,3327,15,17,728
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,506516,3328,15,18,729
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,506608,3328,15,19,730
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,506688,3328,15,20,731
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,506763,3328,15,21,732
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,506832,3329,15,22,733
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,506943,3329,15,23,734
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,507062,3331,15,0,735
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,507266,3333,15,1,736
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,507408,3334,15,2,737
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,507553,3335,15,3,738
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,507686,3338,15,4,739
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,507781,3339,15,5,740
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,507847,3339,15,6,741
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,507898,3339,15,7,742
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,507913,3339,15,8,743
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,507950,3339,15,9,744
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,508022,3339,15,10,745
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,508100,3339,15,11,746
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,508159,3339,15,12,747
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,508211,3339,15,13,748
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,508282,3339,15,14,749
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,508339,3339,15,15,750
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,508431,3339,15,16,751
0,00Vjx2OcROs,2023-04-25T09:00:00Z,867,508497,3339,15,17,752
