,id,date,duration,views,likes,category_id,hour,update_diff
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3333701,69565,22,16,726
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3333861,69567,22,17,727
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3334080,69568,22,18,728
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3334336,69568,22,19,729
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3334601,69572,22,20,730
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3334809,69574,22,21,731
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3335009,69580,22,22,732
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3335297,69586,22,23,733
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3335594,69590,22,0,734
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3335964,69594,22,1,735
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3336159,69598,22,2,736
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3336405,69603,22,3,737
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3336636,69606,22,4,738
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3336833,69611,22,5,739
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3336937,69611,22,6,740
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3337049,69611,22,7,741
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3337107,69613,22,8,742
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3337181,69615,22,9,743
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3337304,69616,22,10,744
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3337421,69620,22,11,745
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3337524,69624,22,12,746
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3337662,69624,22,13,747
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3337802,69626,22,14,748
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3337944,69632,22,15,749
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3338153,69634,22,16,750
0,lBlAIr50VHo,2023-04-25T10:00:26Z,1551,3338272,69635,22,17,751
