,id,date,duration,views,likes,category_id,hour,update_diff
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54316,3119,20,0,134
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54417,3121,20,1,135
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54508,3121,20,2,136
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54603,3125,20,3,137
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54695,3125,20,4,138
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54763,3126,20,5,139
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54824,3126,20,6,140
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54857,3126,20,7,141
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54891,3127,20,8,142
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54917,3127,20,9,143
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54943,3128,20,10,144
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,54965,3131,20,11,145
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55015,3133,20,12,146
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55076,3136,20,13,147
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55129,3138,20,14,148
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55197,3139,20,15,149
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55271,3143,20,16,150
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55309,3148,20,17,151
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55403,3155,20,18,152
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55501,3156,20,19,153
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55554,3156,20,20,154
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55656,3157,20,21,155
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55698,3161,20,22,156
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55768,3164,20,23,157
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55832,3167,20,0,158
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55922,3170,20,1,159
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,55978,3173,20,2,160
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56045,3175,20,3,161
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56105,3176,20,4,162
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56163,3177,20,5,163
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56196,3180,20,6,164
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56222,3181,20,7,165
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56247,3182,20,8,166
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56268,3182,20,9,167
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56325,3182,20,10,168
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56375,3183,20,11,169
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56403,3183,20,12,170
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56450,3184,20,13,171
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56506,3188,20,14,172
0,6qvgNK4SJSw,2023-05-15T10:30:03Z,107,56533,3191,20,15,173
