,id,date,duration,views,likes,category_id,hour,update_diff
0,w8Kdp0OoP0U,2023-05-21T12:00:54Z,900,1133398,30738,22,23,59
0,w8Kdp0OoP0U,2023-05-21T12:00:54Z,900,1155623,30974,22,0,60
0,w8Kdp0OoP0U,2023-05-21T12:00:54Z,900,1170610,31149,22,1,61
0,w8Kdp0OoP0U,2023-05-21T12:00:54Z,900,1181188,31290,22,2,62
0,w8Kdp0OoP0U,2023-05-21T12:00:54Z,900,1195057,31408,22,3,63
0,w8Kdp0OoP0U,2023-05-21T12:00:54Z,900,1203020,31484,22,4,64
0,w8Kdp0OoP0U,2023-05-21T12:00:54Z,900,1209750,31563,22,5,65
0,w8Kdp0OoP0U,2023-05-21T12:00:54Z,900,1216008,31616,22,6,66
0,w8Kdp0OoP0U,2023-05-21T12:00:54Z,900,1219621,31662,22,7,67
0,w8Kdp0OoP0U,2023-05-21T12:00:54Z,900,1222561,31716,22,8,68
