,id,date,duration,views,likes,category_id,hour,update_diff
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3087238,51213,22,19,487
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3087755,51221,22,20,488
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3088188,51230,22,21,489
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3088571,51241,22,22,490
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3089053,51247,22,23,491
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3089415,51257,22,0,492
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3090014,51266,22,1,493
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3090385,51269,22,2,494
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3090999,51272,22,3,495
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3091371,51275,22,4,496
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3091721,51282,22,5,497
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3091929,51285,22,6,498
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3092138,51286,22,7,499
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3092239,51289,22,8,500
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3092370,51292,22,9,501
0,nUPm-loO4FE,2023-05-04T12:00:40Z,838,3092494,51293,22,10,502
