,id,date,duration,views,likes,category_id,hour,update_diff
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2145264,70835,22,15,125
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2147977,70875,22,16,126
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2149694,70926,22,17,127
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2152547,70969,22,18,128
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2155011,71019,22,19,129
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2157368,71079,22,20,130
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2160031,71140,22,21,131
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2163178,71195,22,22,132
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2166509,71243,22,23,133
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2169278,71291,22,0,134
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2171137,71330,22,1,135
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2173596,71365,22,2,136
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2176464,71406,22,3,137
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2178266,71431,22,4,138
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2179859,71451,22,5,139
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2180631,71460,22,6,140
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2181337,71470,22,7,141
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2181663,71497,22,8,142
0,mHoCj_xDLBQ,2023-05-12T10:00:38Z,975,2182553,71521,22,9,143
