,id,date,duration,views,likes,category_id,hour,update_diff
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,816736,17504,1,16,535
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,816822,17507,1,17,536
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,817033,17511,1,18,537
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,817253,17513,1,19,538
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,817551,17520,1,20,539
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,817809,17523,1,21,540
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,818059,17519,1,22,541
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,818402,17520,1,23,542
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,818747,17521,1,0,543
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,819156,17523,1,1,544
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,819353,17525,1,2,545
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,819528,17527,1,3,546
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,819638,17527,1,4,547
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,819702,17527,1,5,548
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,819731,17527,1,6,549
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,819758,17527,1,7,550
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,819772,17527,1,8,551
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,819804,17528,1,9,552
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,819910,17528,1,10,553
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,820005,17528,1,11,554
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,820047,17528,1,12,555
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,820107,17528,1,13,556
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,820164,17530,1,14,557
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,820217,17534,1,15,558
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,820300,17535,1,16,559
0,UhfbWgADqaA,2023-05-03T09:15:12Z,299,820354,17537,1,17,560
