,id,date,duration,views,likes,category_id,hour,update_diff
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,108698,559,20,9,22
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,111481,574,20,10,23
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,115723,585,20,11,24
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,118602,600,20,12,25
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,121749,622,20,13,26
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,125419,642,20,14,27
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,128424,654,20,15,28
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,131767,665,20,16,29
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,132924,666,20,17,30
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,133004,670,20,18,31
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,136945,680,20,19,32
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,137210,684,20,20,33
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,137830,690,20,21,34
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,139127,692,20,22,35
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,140789,696,20,23,36
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,142047,702,20,0,37
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,143328,704,20,1,38
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,144306,704,20,2,39
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,145153,705,20,3,40
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,146967,706,20,4,41
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,148258,707,20,5,42
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,148489,707,20,6,43
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,148876,709,20,7,44
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,149243,713,20,8,45
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,149514,714,20,9,46
0,Wvz1QN2eIgE,2023-05-15T11:08:31Z,815,149975,716,20,10,47
