,id,date,duration,views,likes,category_id,hour,update_diff
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,3748,251,28,17,10
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,5115,397,28,18,11
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,7349,526,28,19,12
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,9178,631,28,20,13
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,11335,716,28,21,14
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,13563,778,28,22,15
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,15678,855,28,23,16
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,17422,914,28,0,17
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,18895,957,28,1,18
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,20840,995,28,2,19
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,22935,1009,28,3,20
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,24010,1022,28,4,21
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,24828,1028,28,5,22
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,25141,1030,28,6,23
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,25387,1040,28,7,24
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,25506,1054,28,8,25
0,95YLHDzsg8A,2023-05-17T06:32:57Z,368,25813,1062,28,9,26
