,id,date,duration,views,likes,category_id,hour,update_diff
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1426124,21343,24,13,340
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1426592,21348,24,14,341
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1427108,21361,24,15,342
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1427820,21376,24,16,343
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1428265,21385,24,17,344
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1428944,21396,24,18,345
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1429439,21415,24,19,346
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1430105,21436,24,20,347
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1431006,21452,24,21,348
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1432030,21469,24,22,349
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1433687,21484,24,23,350
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1434896,21497,24,0,351
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1436539,21514,24,1,352
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1437601,21526,24,2,353
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1438959,21535,24,3,354
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1439746,21540,24,4,355
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1440209,21541,24,5,356
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1440551,21542,24,6,357
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1440751,21543,24,7,358
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1440894,21548,24,8,359
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1441075,21557,24,9,360
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1441366,21564,24,10,361
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1441730,21578,24,11,362
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1442302,21585,24,12,363
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1442956,21591,24,13,364
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1443560,21602,24,14,365
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1443978,21608,24,15,366
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1444758,21619,24,16,367
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1445554,21632,24,17,368
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1446340,21639,24,18,369
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1447439,21654,24,19,370
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1447911,21665,24,20,371
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1449051,21676,24,21,372
0,UXm1KLmTcao,2023-05-05T09:28:06Z,1097,1449578,21692,24,22,373
