,id,date,duration,views,likes,category_id,hour,update_diff
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21393,697,22,0,86
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21456,699,22,1,87
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21499,701,22,2,88
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21540,702,22,3,89
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21596,702,22,4,90
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21636,702,22,5,91
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21668,702,22,6,92
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21702,702,22,7,93
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21715,702,22,8,94
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21723,702,22,9,95
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21752,702,22,10,96
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21775,702,22,11,97
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21814,702,22,12,98
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21863,703,22,13,99
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21915,705,22,14,100
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21961,705,22,15,101
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,21993,705,22,16,102
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22032,706,22,17,103
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22094,708,22,18,104
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22157,709,22,19,105
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22191,711,22,20,106
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22274,712,22,21,107
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22337,714,22,22,108
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22422,715,22,23,109
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22481,715,22,0,110
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22543,715,22,1,111
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22587,715,22,2,112
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22647,716,22,3,113
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22684,717,22,4,114
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22721,717,22,5,115
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22738,718,22,6,116
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22751,718,22,7,117
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22772,719,22,8,118
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22783,720,22,9,119
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22810,721,22,10,120
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22843,723,22,11,121
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22851,723,22,12,122
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22892,723,22,13,123
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22930,725,22,14,124
0,SDm04NGL9ak,2023-05-17T10:30:10Z,366,22950,725,22,15,125
