,id,date,duration,views,likes,category_id,hour,update_diff,views_diff,views_diff_scaled,likes_diff,likes_diff_scaled
1,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,14839,838,22,10,45,26.0,0.0,1.0,0.0
2,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,14868,838,22,11,46,29.0,0.15789473684210525,0.0,-1.0
3,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,14905,839,22,12,47,37.0,0.5789473684210527,1.0,0.0
4,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,14930,840,22,13,48,25.0,-0.05263157894736842,1.0,0.0
5,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,14965,843,22,14,49,35.0,0.47368421052631576,3.0,2.0
6,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,14988,846,22,15,50,23.0,-0.15789473684210525,3.0,2.0
7,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15035,847,22,16,51,47.0,1.105263157894737,1.0,0.0
8,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15051,847,22,17,52,16.0,-0.5263157894736842,0.0,-1.0
9,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15053,847,22,18,53,2.0,-1.263157894736842,0.0,-1.0
10,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15124,848,22,19,54,71.0,2.3684210526315788,1.0,0.0
11,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15127,849,22,20,55,3.0,-1.2105263157894737,1.0,0.0
12,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15138,850,22,21,56,11.0,-0.7894736842105263,1.0,0.0
13,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15167,851,22,22,57,29.0,0.15789473684210525,1.0,0.0
14,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15198,852,22,23,58,31.0,0.2631578947368421,1.0,0.0
15,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15229,851,22,0,59,31.0,0.2631578947368421,-1.0,-2.0
16,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15267,853,22,1,60,38.0,0.631578947368421,2.0,1.0
17,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15293,853,22,2,61,26.0,0.0,0.0,-1.0
18,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15318,853,22,3,62,25.0,-0.05263157894736842,0.0,-1.0
19,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15375,853,22,4,63,57.0,1.631578947368421,0.0,-1.0
20,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15413,853,22,5,64,38.0,0.631578947368421,0.0,-1.0
21,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15421,854,22,6,65,8.0,-0.9473684210526315,1.0,0.0
22,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15437,855,22,7,66,16.0,-0.5263157894736842,1.0,0.0
23,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15456,855,22,8,67,19.0,-0.3684210526315789,0.0,-1.0
24,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15462,856,22,9,68,6.0,-1.0526315789473684,1.0,0.0
25,tIcJ3OTloO8,2023-05-14T13:12:55Z,3994,15473,857,22,10,69,11.0,-0.7894736842105263,1.0,0.0
