,id,date,duration,views,likes,category_id,hour,update_diff,views_diff,views_diff_scaled,likes_diff,likes_diff_scaled
1,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,243559,6100,20,16,318,90.0,1.0985915492957747,2.0,1.0
2,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,243624,6100,20,17,319,65.0,0.39436619718309857,0.0,-1.0
3,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,243704,6102,20,18,320,80.0,0.8169014084507042,2.0,1.0
4,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,243773,6105,20,19,321,69.0,0.5070422535211268,3.0,2.0
5,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,243826,6107,20,20,322,53.0,0.056338028169014086,2.0,1.0
6,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,243902,6107,20,21,323,76.0,0.704225352112676,0.0,-1.0
7,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244012,6109,20,22,324,110.0,1.6619718309859155,2.0,1.0
8,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244076,6109,20,23,325,64.0,0.36619718309859156,0.0,-1.0
9,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244149,6110,20,0,326,73.0,0.6197183098591549,1.0,0.0
10,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244184,6110,20,1,327,35.0,-0.4507042253521127,0.0,-1.0
11,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244257,6110,20,2,328,73.0,0.6197183098591549,0.0,-1.0
12,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244325,6110,20,3,329,68.0,0.4788732394366197,0.0,-1.0
13,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244374,6111,20,4,330,49.0,-0.056338028169014086,1.0,0.0
14,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244425,6112,20,5,331,51.0,0.0,1.0,0.0
15,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244453,6112,20,6,332,28.0,-0.647887323943662,0.0,-1.0
16,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244476,6113,20,7,333,23.0,-0.7887323943661971,1.0,0.0
17,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244493,6114,20,8,334,17.0,-0.9577464788732394,1.0,0.0
18,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244529,6115,20,9,335,36.0,-0.4225352112676056,1.0,0.0
19,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244566,6115,20,10,336,37.0,-0.39436619718309857,0.0,-1.0
20,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244629,6116,20,11,337,63.0,0.3380281690140845,1.0,0.0
21,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244671,6118,20,12,338,42.0,-0.2535211267605634,2.0,1.0
22,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244698,6118,20,13,339,27.0,-0.676056338028169,0.0,-1.0
23,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244807,6120,20,14,340,109.0,1.6338028169014085,2.0,1.0
24,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244858,6121,20,15,341,51.0,0.0,1.0,0.0
25,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244940,6123,20,16,342,82.0,0.8732394366197183,2.0,1.0
26,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,244989,6125,20,17,343,49.0,-0.056338028169014086,2.0,1.0
27,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245082,6125,20,18,344,93.0,1.1830985915492958,0.0,-1.0
28,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245139,6126,20,19,345,57.0,0.16901408450704225,1.0,0.0
29,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245244,6126,20,20,346,105.0,1.5211267605633803,0.0,-1.0
30,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245307,6125,20,21,347,63.0,0.3380281690140845,-1.0,-2.0
31,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245348,6126,20,22,348,41.0,-0.28169014084507044,1.0,0.0
32,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245425,6127,20,23,349,77.0,0.7323943661971831,1.0,0.0
33,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245473,6127,20,0,350,48.0,-0.08450704225352113,0.0,-1.0
34,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245501,6128,20,1,351,28.0,-0.647887323943662,1.0,0.0
35,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245539,6128,20,2,352,38.0,-0.36619718309859156,0.0,-1.0
36,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245577,6128,20,3,353,38.0,-0.36619718309859156,0.0,-1.0
37,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245611,6128,20,4,354,34.0,-0.4788732394366197,0.0,-1.0
38,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245662,6128,20,5,355,51.0,0.0,0.0,-1.0
39,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245681,6129,20,6,356,19.0,-0.9014084507042254,1.0,0.0
40,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245705,6129,20,7,357,24.0,-0.7605633802816901,0.0,-1.0
41,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245711,6130,20,8,358,6.0,-1.267605633802817,1.0,0.0
42,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245730,6130,20,9,359,19.0,-0.9014084507042254,0.0,-1.0
43,ha01MiqFVZo,2023-05-04T09:38:28Z,2100,245767,6131,20,10,360,37.0,-0.39436619718309857,1.0,0.0
