,id,date,duration,views,likes,category_id,hour,update_diff,views_diff,views_diff_scaled,likes_diff,likes_diff_scaled
1,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,120163,2459,20,14,162,219.0,-0.02654867256637168,3.0,0.3333333333333333
2,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,120343,2462,20,15,163,180.0,-0.37168141592920356,3.0,0.3333333333333333
3,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,120607,2468,20,16,164,264.0,0.37168141592920356,6.0,1.3333333333333333
4,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,120836,2470,20,17,165,229.0,0.061946902654867256,2.0,0.0
5,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,121133,2469,20,18,166,297.0,0.6637168141592921,-1.0,-1.0
6,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,121354,2470,20,19,167,221.0,-0.008849557522123894,1.0,-0.3333333333333333
7,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,121644,2472,20,20,168,290.0,0.6017699115044248,2.0,0.0
8,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,121869,2470,20,21,169,225.0,0.02654867256637168,-2.0,-1.3333333333333333
9,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,121991,2472,20,22,170,122.0,-0.8849557522123894,2.0,0.0
10,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,122179,2474,20,23,171,188.0,-0.3008849557522124,2.0,0.0
11,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,122342,2480,20,0,172,163.0,-0.5221238938053098,6.0,1.3333333333333333
12,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,122580,2487,20,1,173,238.0,0.1415929203539823,7.0,1.6666666666666667
13,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,122761,2490,20,2,174,181.0,-0.36283185840707965,3.0,0.3333333333333333
14,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,123098,2494,20,3,175,337.0,1.0176991150442478,4.0,0.6666666666666666
15,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,123356,2505,20,4,176,258.0,0.3185840707964602,11.0,3.0
16,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,123690,2506,20,5,177,334.0,0.9911504424778761,1.0,-0.3333333333333333
17,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,124030,2506,20,6,178,340.0,1.0442477876106195,0.0,-0.6666666666666666
18,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,124275,2507,20,7,179,245.0,0.20353982300884957,1.0,-0.3333333333333333
19,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,124421,2508,20,8,180,146.0,-0.672566371681416,1.0,-0.3333333333333333
20,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,124559,2510,20,9,181,138.0,-0.7433628318584071,2.0,0.0
21,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,124694,2513,20,10,182,135.0,-0.7699115044247787,3.0,0.3333333333333333
22,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,124860,2514,20,11,183,166.0,-0.49557522123893805,1.0,-0.3333333333333333
23,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,125100,2514,20,12,184,240.0,0.1592920353982301,0.0,-0.6666666666666666
24,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,125295,2518,20,13,185,195.0,-0.23893805309734514,4.0,0.6666666666666666
25,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,125517,2523,20,14,186,222.0,0.0,5.0,1.0
26,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,125679,2525,20,15,187,162.0,-0.5309734513274337,2.0,0.0
27,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,126005,2533,20,16,188,326.0,0.9203539823008849,8.0,2.0
28,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,126315,2534,20,17,189,310.0,0.7787610619469026,1.0,-0.3333333333333333
29,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,126493,2536,20,18,190,178.0,-0.3893805309734513,2.0,0.0
30,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,126772,2540,20,19,191,279.0,0.504424778761062,4.0,0.6666666666666666
31,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,126916,2541,20,20,192,144.0,-0.6902654867256637,1.0,-0.3333333333333333
32,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,127308,2545,20,21,193,392.0,1.5044247787610618,4.0,0.6666666666666666
33,gvjzVuVmzBE,2023-05-12T19:57:37Z,9003,127451,2546,20,22,194,143.0,-0.6991150442477876,1.0,-0.3333333333333333
