,id,date,duration,views,likes,category_id,hour,update_diff,views_diff,views_diff_scaled,likes_diff,likes_diff_scaled
1,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,523011,11452,24,13,75,-545271.0,-0.04045077219153031,-6404.0,-0.03744922826969943
2,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1068993,17865,24,14,244,545982.0,1.004380379728656,6413.0,1.0037367993501218
3,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,524667,11474,24,14,76,-544326.0,-0.03954597244429976,-6391.0,-0.0363931762794476
4,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1069653,17879,24,15,245,544986.0,1.0034267495188762,6405.0,1.0030869212022746
5,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,526284,11498,24,15,77,-543369.0,-0.03862968317646946,-6381.0,-0.03558082859463851
6,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1070610,17893,24,16,246,544326.0,1.0027948258858899,6395.0,1.0022745735174654
7,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,528659,11522,24,16,78,-541951.0,-0.03727200482559865,-6371.0,-0.034768480909829404
8,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1071357,17900,24,17,247,542698.0,1.0012360809245233,6378.0,1.00089358245329
9,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,530061,11554,24,17,79,-541296.0,-0.03664486849286214,-6346.0,-0.03273761169780666
10,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1072394,17916,24,18,248,542333.0,1.000886608006281,6362.0,0.9995938261575954
11,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,531974,11580,24,18,80,-540420.0,-0.03580613348908017,-6336.0,-0.03192526401299756
12,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1073273,17934,24,19,249,541299.0,0.9998965943146022,6354.0,0.9989439480097482
13,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,533442,11611,24,19,81,-539831.0,-0.035242189519642295,-6323.0,-0.030869212022745736
14,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1074705,17944,24,20,250,541263.0,0.999862125752803,6333.0,0.9972380178716491
15,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,536294,11645,24,20,82,-538411.0,-0.03388259624867152,-6299.0,-0.0289195775792039
16,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1076269,17959,24,21,251,539975.0,0.9986289172084295,6314.0,0.9956945572705118
17,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,539573,11687,24,21,83,-536696.0,-0.03224055226295683,-6272.0,-0.026726238830219334
18,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1077170,17972,24,22,252,537597.0,0.9963520772095784,6285.0,0.9933387489845654
19,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,542016,11717,24,22,84,-535154.0,-0.03076414886588857,-6255.0,-0.025345247766043865
20,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1078661,17978,24,23,253,536645.0,0.995440575241998,6261.0,0.9913891145410235
21,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,545946,11740,24,23,85,-532715.0,-0.02842890380398878,-6238.0,-0.0239642567018684
22,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1079841,17997,24,0,254,533895.0,0.9928075601045546,6257.0,0.9910641754670999
23,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,549161,11779,24,0,86,-530680.0,-0.02648047260228067,-6218.0,-0.022339561332250204
24,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1081245,18008,24,1,255,532084.0,0.9910735999540419,6229.0,0.9887896019496344
25,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,552582,11810,24,1,87,-528663.0,-0.02454927568147219,-6198.0,-0.020714865962632008
26,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1082170,18016,24,2,256,529588.0,0.9886837796692933,6206.0,0.9869212022745735
27,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,554730,11833,24,2,88,-527440.0,-0.023378302040347368,-6183.0,-0.01949634443541836
28,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1083695,18019,24,3,257,528965.0,0.9880872820581561,6186.0,0.9852965069049553
29,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,558388,11851,24,3,89,-525307.0,-0.021336039753741275,-6168.0,-0.018277822908204712
30,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1084720,18023,24,4,258,526332.0,0.9855662897465604,6172.0,0.9841592201462226
31,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,560938,11860,24,4,90,-523782.0,-0.01987591317752267,-6163.0,-0.017871649065800164
32,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1085514,18024,24,5,259,524576.0,0.9838849898987965,6164.0,0.9835093419983753
33,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,563041,11872,24,5,91,-522473.0,-0.018622597972099614,-6152.0,-0.016978066612510154
34,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1086058,18027,24,6,260,523017.0,0.9823923096808785,6155.0,0.9827782290820472
35,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,564567,11875,24,6,92,-521491.0,-0.01768237220301983,-6152.0,-0.016978066612510154
36,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1086446,18031,24,7,261,521879.0,0.981302720144002,6156.0,0.982859463850528
37,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,565537,11878,24,7,93,-520909.0,-0.01712513045393181,-6153.0,-0.017059301380991064
38,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1086772,18037,24,8,262,521235.0,0.9806861158718152,6159.0,0.9831031681559708
39,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,566203,11891,24,8,94,-520569.0,-0.016799594036938807,-6146.0,-0.016490658001624695
40,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1087179,18044,24,9,263,520976.0,0.9804381337188706,6153.0,0.9826157595450853
41,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,566695,11910,24,9,95,-520484.0,-0.016718209932690558,-6134.0,-0.015515840779853778
42,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1087741,18051,24,10,264,521046.0,0.9805051559223691,6141.0,0.9816409423233143
43,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,567641,11922,24,10,96,-520100.0,-0.016350545273498465,-6129.0,-0.015109666937449228
44,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1088380,18064,24,11,265,520739.0,0.9802112156870254,6142.0,0.9817221770917953
45,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,568884,11945,24,11,97,-519496.0,-0.015772239403310895,-6119.0,-0.01429731925264013
46,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1089223,18075,24,12,266,520339.0,0.9798282316670337,6130.0,0.9807473598700244
47,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,570925,11974,24,12,98,-518298.0,-0.014625202263435558,-6101.0,-0.012835093419983753
48,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1090179,18084,24,13,267,519254.0,0.978789387512806,6110.0,0.9791226645004062
49,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,573221,12005,24,13,99,-516958.0,-0.013342205796463143,-6079.0,-0.011047928513403736
50,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1091180,18100,24,14,268,517959.0,0.9775494767480827,6095.0,0.9779041429731925
51,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,576174,12030,24,14,100,-515006.0,-0.011473243778903325,-6070.0,-0.010316815597075549
52,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1091982,18112,24,15,269,515808.0,0.975489980180577,6082.0,0.9768480909829407
53,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,578318,12066,24,15,101,-513664.0,-0.010188332391830951,-6046.0,-0.008367181153533713
54,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1093292,18118,24,16,270,514974.0,0.9746914584988942,6052.0,0.9744110479285134
55,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,581401,12091,24,16,102,-511891.0,-0.008490755723217449,-6027.0,-0.006823720552396426
56,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1094494,18132,24,17,271,513093.0,0.9728904761448829,6041.0,0.9735174654752234
57,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,584041,12115,24,17,103,-510453.0,-0.0071139281713470505,-6017.0,-0.006011372867587328
58,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1095374,18150,24,18,272,511333.0,0.9712053464569191,6035.0,0.973030056864338
59,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,586104,12150,24,18,104,-509270.0,-0.005981252932221403,-6000.0,-0.00463038180341186
60,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1097140,18163,24,19,273,511036.0,0.9709209808220752,6013.0,0.9712428919577579
61,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,589860,12178,24,19,105,-507280.0,-0.004075907432762368,-5985.0,-0.003411860276198213
62,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1098003,18186,24,20,274,508143.0,0.9681510488974847,6008.0,0.9708367181153533
63,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,591703,12211,24,20,106,-506300.0,-0.0031375965837825417,-5975.0,-0.0025995125913891143
64,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1100349,18201,24,21,275,508646.0,0.9686326513026244,5990.0,0.969374492282697
65,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,596307,12243,24,21,107,-504042.0,-0.0009756517909290235,-5958.0,-0.0012185215272136475
66,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1101455,18214,24,22,276,505148.0,0.9652834560477964,5971.0,0.9678310316815597
67,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,598432,12271,24,22,108,-503023.0,0.0,-5943.0,0.0
