,id,date,duration,views,likes,category_id,hour,update_diff,views_diff,views_diff_scaled,likes_diff,likes_diff_scaled
1,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,41001,1997,20,11,25,1197.0,0.9970674486803519,35.0,0.4864864864864865
2,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,41935,2044,20,12,26,934.0,0.5563468789275241,47.0,0.918918918918919
3,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,42516,2099,20,13,27,581.0,-0.03519061583577713,55.0,1.2072072072072073
4,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,43801,2139,20,14,28,1285.0,1.1445328864683704,40.0,0.6666666666666666
5,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,44767,2176,20,15,29,966.0,0.6099706744868035,37.0,0.5585585585585585
6,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,46010,2209,20,16,30,1243.0,1.0741516547968162,33.0,0.4144144144144144
7,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,46620,2244,20,17,31,610.0,0.013405948889819858,35.0,0.4864864864864865
8,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,47806,2292,20,18,32,1186.0,0.9786342689568496,48.0,0.954954954954955
9,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,48440,2333,20,19,33,634.0,0.05362379555927943,41.0,0.7027027027027027
10,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,49830,2357,20,20,34,1390.0,1.320485965647256,24.0,0.09009009009009009
11,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,50818,2383,20,21,35,988.0,0.6468370339338081,26.0,0.16216216216216217
12,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,51571,2402,20,22,36,753.0,0.2530372852953498,19.0,-0.09009009009009009
13,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,52400,2413,20,23,37,829.0,0.38039379974863846,11.0,-0.3783783783783784
14,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,52994,2421,20,0,38,594.0,-0.013405948889819858,8.0,-0.4864864864864865
15,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,53426,2445,20,1,39,432.0,-0.28487641390867197,24.0,0.09009009009009009
16,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,53811,2461,20,2,40,385.0,-0.36363636363636365,16.0,-0.1981981981981982
17,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,54404,2473,20,3,41,593.0,-0.01508169250104734,12.0,-0.34234234234234234
18,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,54748,2476,20,4,42,344.0,-0.4323418516966904,3.0,-0.6666666666666666
19,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,55259,2480,20,5,43,511.0,-0.15249266862170088,4.0,-0.6306306306306306
20,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,55430,2482,20,6,44,171.0,-0.7222454964390448,2.0,-0.7027027027027027
21,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,55634,2489,20,7,45,204.0,-0.6669459572685379,7.0,-0.5225225225225225
22,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,55676,2497,20,8,46,42.0,-0.9384164222873901,8.0,-0.4864864864864865
23,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,55893,2499,20,9,47,217.0,-0.6451612903225806,2.0,-0.7027027027027027
24,H8-UKLYCwTI,2023-05-17T10:00:22Z,484,56173,2506,20,10,48,280.0,-0.5395894428152492,7.0,-0.5225225225225225
