,id,title,category_id,views,likes,favorites,comments,date,tags
0,N9vI1l4US7A,[#강식당1] 강식당 출연 사실을 텔레비전 보고 알았다는 강호동의 분노ㅣEP1-01,24,998218,4964,0,NaN,2017-12-05T14:17:20Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
1,1hTzNN-iXqQ,[#강식당1] 영업신고증을 보고 하염없이 웃음만 나오는 강식당 멤버들ㅋㅋㅋㅣEP1-02,24,219639,741,0,NaN,2017-12-05T14:25:06Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
2,mzeeB-Bcy8Y,[#강식당1] 칼국수 얘기만 3시간 하다가   강호동가스 이름에 꽂혀 경양식으로 결정!ㅣEP1-03,24,380035,1307,0,NaN,2017-12-05T14:31:14Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
3,qIHSrOpu5-M,[#강식당1] 역할 분담부터 해보는 강식당! 수근이 역할은 발레복 입고 발레파킹🩰ㅣEP1-04,24,161630,452,0,NaN,2017-12-05T14:32:36Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
4,vBlLqUNyUzE,[#강식당1] 식당 오픈을 위한 보건증 발급 검사에 숙연해진 강식당 멤버들..🤭ㅣEP1-05,24,211029,1013,0,NaN,2017-12-05T14:33:16Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
5,iys4CeRPrdY,[#강식당1] 탕수육 부먹vs찍먹으로 진짜 싸우는 강호동과 이수근ㅣEP1-06,24,1307726,4649,0,NaN,2017-12-05T14:38:08Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
6,3DYiY3jMY-M,[#강식당1] 비주얼로 씹어먹는 안재현 셰프 & 비주얼을 씹어먹는 강호동 셰프ㅣEP1-07,24,127236,323,0,NaN,2017-12-05T14:39:08Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
7,JF45LUgbQVw,[#강식당1] 고기 때려보기는 처음인 강호동🔨 돈가스… 메뉴 잘못 선택했는데...? ㅣEP1-08,24,360662,1245,0,NaN,2017-12-05T15:03:04Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
8,URV3a8oH1WE,[#강식당1] 바빠도 불조심~🔥 레시피 종이가 불에 타버리는 순간 강식당 영업 종료😇ㅣEP1-09,24,129429,341,0,NaN,2017-12-05T15:04:26Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
9,C5M7LlI7jIU,[#강식당1] 사장님 따라 열심히 먹는 강식당 직원들ㅣEP1-10,24,121115,310,0,NaN,2017-12-05T15:06:22Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
10,oGJi-ZZVT4E,[#강식당1] 서툰 모의 영업 도중 갑자기 부서진 사업자 등록증?! 강식당의 미래는  ㅣEP1-11,24,188560,683,0,NaN,2017-12-05T15:12:09Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '꽃청춘위너', '위너', '강호동가스', '먹방', '음식', '제주도']"
11,EMg7fh_D0g0,[#강식당1] 제주도에서 만드는 첫 강호동까스 먹어보는 멤버들의 반응👀?ㅣEP1-12,24,409787,1414,0,NaN,2017-12-05T15:18:04Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
12,JJCqevSp_KY,[#강식당1] 살다 살다 별 걸 다 하는 구나ㅋㅋㅋ 새벽 세시까지 전직원이 망치질하는 강식당 ㅣEP1-13,24,285207,1142,0,NaN,2017-12-05T15:19:59Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
13,uI8rrIe4zv4,[#강식당1] 밥 먹을 시간도 없이 우당탕탕 첫 영업 준비하는 멤버들!🤯ㅣEP1-14,24,137662,349,0,NaN,2017-12-05T15:23:00Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
14,2zpuTJdSyjY,[#강식당1] 강식당의 아트 담당 송민호의 작품 같은 메뉴판👨‍🎨 드디어 강식당 오픈!!ㅣEP1-15,24,104274,239,0,NaN,2017-12-05T15:23:51Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
15,zGDpIR5lZlU,[#강식당1] 돈가스 두 개 시키면 큰일 나는 강호동까스! 처음 선보인 손님의 반응?ㅣEP1-16,24,300107,1036,0,NaN,2017-12-05T15:27:56Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
16,B5QknmdyidE,[#강식당1] 오므라이스가 나갔는데 안 나갔어요(?) 강식당 첫 영업에 우왕좌왕하는 직원들🔥 ㅣEP1-17,24,149345,397,0,NaN,2017-12-05T15:33:00Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
17,BW9Zc7wck_w,[#강식당1] 소스 분리를 부탁한 손님의 오므라이스가 사라졌다🍽 오므라이스의 행방은⁉ㅣEP2-01,24,125844,309,0,NaN,2017-12-12T14:26:52Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
18,MBW3pyyShDM,[#강식당1] 백종원이 가르쳐주는 오므라이스 레시피! 그리고 계란이불 완벽하게 덮는 법🍳ㅣEP2-02,24,314541,1399,0,NaN,2017-12-12T14:28:01Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
19,vd6yl0gEQog,[#강식당1] 홀이든 주방이든 이수근이 필요한 강식당ㅣEP2-03,24,150342,439,0,NaN,2017-12-12T14:41:36Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
