,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,qOOl8MwFtF0,사람 볶는 방법,24,637280,7259,0,NaN,2020-06-08T09:00:29Z,464,"['승우아빠', '승우아빠 울프', '울프', 'T1 울프', '승우아빠 T1', 'skt t1 승우아빠', 'T1 울프 레전드', '울프 요리', '승우아빠 요리', '울프 승우아빠', 'T1 승우아빠', '롤', '요리사 롤', '롤 요리사']"
1,U5qPqSgJwIc,만화를 등진 웹툰작가 vs 요리를 그만둔 요리사 l 침착맨,24,2352701,21842,0,NaN,2020-06-26T09:30:14Z,1275,"['승우아빠', '승우아빠 침착맨', '침착맨', '침착맨 승우아빠', '떡류탄', '침착맨 떡류탄', '승우아빠 떡류탄', '승우아빠 떡볶이', '침착맨 떡볶이', '승우아빠 같이한끼', '같이한끼', '이말년', '침착맨 이말년', '승우아빠 라이브', '승우아빠 쿠킹쇼', '라이브 쿠킹쇼', '승우아빠 라이브 쿠킹쇼', '침착맨 같이한끼', '이말년 같이한끼']"
2,sB6FhIkVlA0,공대생이 요리를 하면 이렇게 됩니다 l 공대생 변승주,24,710405,10835,0,NaN,2020-07-10T09:30:13Z,1167,"['승우아빠', '승우아빠 변승주', '공대생 변승주', '공대생', '승우아빠 공대생', '같이한끼', '스테이크동', '승우아빠 스테이크동', '공대생 스테이크동', '공대생 요리', '승우아빠 요리', '공대생 같이한끼', '승우아빠 같이한끼', '승우아빠 게스트', '승우아빠 요리사']"
3,BpIWCyI2oBk,멘사출신 IQ 170 천재가 요리를 하면 이렇게 됩니다 I 철면수심,24,582034,7087,0,NaN,2020-07-17T10:15:12Z,1043,"['승우아빠', '같이한끼', '철면수심', '승우아빠 같이한끼', '승우아빠 철면수심', '철면수심 요리', '승우아빠 요리', '철면수심 완탕면', '승우아빠 완탕면', '완탕면', '황금볶음밥', '철면수심 황금볶음밥', '승우아빠 황금볶음밥', '볶음우동', '철면수심 볶음우동', '승우아빠 볶음우동']"
4,gjDsCYBaPMI,그동안 감사했습니다,24,1624829,16070,0,NaN,2020-07-31T10:00:15Z,1163,"['승우아빠', '승우아빠 주호민', '승우아빠 제발', '제발', '파괴신', '파괴신 주호민', '승우아빠 파괴신', '파괴신 승우아빠', '신과함께 주호민', '같이한끼', '승우아빠 같이한끼', '승우아빠 같이한끼 주호민', '주펄']"
5,TlAZqoQbGjk,왜 다들 여기에만 오면 칼을들고 그래요,24,1524361,20888,0,NaN,2020-08-07T09:30:03Z,1102,"['승우아빠', '승우아빠 같이한끼', '같이한끼', '승우아빠 꽈뚜룹', '꽈뚜룹 같이한끼', '꽈뚜룹 요리', '승우아빠 요리', '승우아빠 꽈뚜룹 같이한끼', '꽈뚜룹', '꽈뚜룹 샌프란시스코', '샌프란시스코', '꽈뚜룹 외국인', '꽈뚜룹 한국인']"
6,Pu2IdKnbiuA,오늘 준비한 고기부터 보시죠...? feat. 육식맨,24,1249531,14490,0,NaN,2020-08-14T10:00:08Z,961,"['승우아빠', '승우아빠 육식맨', '육식맨', '육식맨 승우아빠', '육식맨 같이한끼', '승우아빠 같이한끼', '같이한끼', '승우아빠 난자완스', '육식맨 난자완스', '난자완스', '경장육사', '승우아빠 경장육사', '육식맨 경장육사']"
7,RnB_R7ktDws,어렵게 여성 게스트를 모셨습니다...그런데 feat. 짬타수아,24,1562944,15496,0,NaN,2020-08-21T09:30:01Z,998,"['승우아빠', '같이한끼', '승우아빠 같이한끼', '짬타수아', '승우아빠 짬타수아', '승우아빠 짬타수아 같이한끼', '몬스터헌터', '승우아빠 몬스터헌터', '짬타수아 몬스터헌터']"
8,e2XooWOUwt0,치과의사가 알려주는 어금니 요리 l 치과의사 매직박,24,700178,8295,0,NaN,2020-08-28T09:30:05Z,936,"['승우아빠', '같이한끼', '승우아빠 같이한끼', '승우아빠 매직박', '매직박', '승우아빠 매직박 같이한끼', '승우아빠 푸드트럭', '푸드트럭 사장님', '푸드트럭 같이한끼']"
9,HKs_05HMM_Y,이분과 함께 요리를 했더니 마이크가 고장 났습니다   김성회의 G식백과,24,857915,12770,0,NaN,2020-09-04T10:45:13Z,935,"['g식백과', '김성회', '승우아빠 같이한끼', '같이한끼', '승우아빠 g식백과', '승우아빠 김성회', '쥐식백과', '승우아빠 김성회 같이한끼', '같이한끼 김성회']"
