,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,HsOKLEZvaN4,나는 인생에 혼돈을 겪을 때 히말라야를 올라간다 - 네팔(1),19,137316,4801,0,NaN,2022-10-05T03:01:11Z,1167,NaN
1,lSGZusL-9zM,혼자 4200m 베이스캠프에서 생활하는 23살 청년 - 네팔(2),19,370531,7752,0,NaN,2022-10-07T09:17:34Z,1845,NaN
2,Z-PHtz0da_U,히말라야 트레킹에 미친 35살 총각 - 네팔(3),19,142337,5611,0,NaN,2022-10-10T02:52:14Z,1421,NaN
3,qWkWg0JV1cw,안나푸르나 산을 오를수록 비싸지는 물가 - 네팔(4),19,131903,5274,0,NaN,2022-10-15T09:18:14Z,1134,NaN
4,3s_ECFo1SEE,안나푸르나 베이스캠프에서 백숙 먹으러 가는 길 - 네팔(5),19,192885,6322,0,NaN,2022-10-17T07:24:52Z,1345,NaN
5,67VESb3byhE,안나푸르나 어느 산골 이자카야 닭튀김에 한잔 - 네팔(6),19,150996,5784,0,NaN,2022-10-21T08:13:57Z,1354,NaN
6,sIZiniQG6AQ,밧심으로 안나푸르나 숨겨진 명소를 찾는 트레킹 - 네팔(7),19,128320,5443,0,NaN,2022-10-23T04:47:14Z,1250,NaN
7,vTiFLlEPa4c,아파 죽겄는데 당신을 생각하며 걸었습니다 - 네팔(8),19,158327,5579,0,NaN,2022-10-25T07:27:24Z,1712,NaN
8,lTjMVPnT6RY,억수로 비가 내리는 안나푸르나 산골에 고립 - 네팔(9),19,309084,7503,0,NaN,2022-10-28T08:19:33Z,1255,NaN
9,Ih-yBJYf3Q4,한국식 삼겹살을 파는 3800m 히말라야 산골마을 - 네팔(10),19,734839,11921,0,NaN,2022-10-30T09:01:28Z,2001,NaN
10,WSLlPiObpDM,눈 1m 쌓인 히말라야 5400m를 눈보라 뚫고 오르다 - 네팔(11),19,228830,7986,0,NaN,2022-11-02T08:50:51Z,1565,NaN
11,e0S1v1ecvoQ,히말라야 5000m 순백의 설산을 데굴데굴 탈출 - 네팔(12),19,167116,7169,0,NaN,2022-11-04T08:35:21Z,1236,NaN
12,RLD86XGgJfo,악바리 근성으로 히말라야 하루 51km 걷는 뷰티유튜버 - 네팔(13),19,145852,6952,0,NaN,2022-11-07T08:27:03Z,1471,NaN
13,B7SxdNlDVgY,네팔의 지상낙원 포카라에서 힐링하기 - 네팔(14),19,182580,6908,0,NaN,2022-11-08T08:22:28Z,1516,NaN
14,CjSdacTwx4E,일본 낭만의 규슈올레길 도보여행 시작 - 규슈올레(1),19,176281,6989,0,NaN,2022-11-15T11:46:43Z,1992,NaN
15,j3P0qv6ayCw,장어덮밥 먹고 불끈불끈 힘내서 일본 도보여행 - 규슈올레(2),19,120311,4878,0,NaN,2022-11-19T02:29:26Z,1348,NaN
16,sbJxQoEKTbQ,충격적인 일본 호스텔 가격 주말에 도미토리가 18만원 그래서 PC방에서 잠자기 - 규슈올레(3),19,239067,7520,0,NaN,2022-11-21T09:38:06Z,1344,NaN
17,eZaB6dHjCR0,일본 모텔에서 편의점 8첩반상 먹고 올레길 걷기 - 규슈올레(4),19,157341,5907,0,NaN,2022-11-24T10:32:13Z,1449,NaN
18,rYkS1nzdwvk,일본 올레길 걷고 이자카야에서 흥분적인 맥주 타임 - 규슈올레(5),19,127157,5004,0,NaN,2022-11-27T09:43:02Z,1407,NaN
19,V9MzIQx1FQs,문제가 많은 일본 숙박 가격과 험난한 도보여행 - 규슈올레(6),19,147549,5214,0,NaN,2022-12-01T07:08:54Z,1268,NaN
20,tnSAng0JH4M,길바닥에서 자야 할 위기의 일본 도보여행 - 규슈올레(7),19,131253,5917,0,NaN,2022-12-04T09:48:30Z,1800,NaN
