,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags
0,RiraGMYDtd4,코시국 PCR테스트 없는 유럽 입국기 - 유럽여행 〔0〕,19,610784,12936,0,NaN,2021-08-12T10:29:48Z,14500.51,1231,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', '세계일주', '슬로베니아']"
1,2Y_ea2_dfos,몰락한 구 유고슬라비아의 고등학교 기숙사 생활기 - 유럽여행 〔1〕,19,447314,9321,0,NaN,2021-08-16T09:00:01Z,14406.01,882,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
2,yhnrJ5LA9Tc,슬로베니아 수도의 관광지 물가와 마트 물가 알아보기 - 유럽여행 〔2〕,19,474848,9775,0,NaN,2021-08-20T09:00:20Z,14310.0,940,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
3,D4zFpIo4s5Y,유럽의 낯선 시골 마을 누드비치에서 1박 2일 캠핑 해보기 - 유럽여행 〔3〕,19,1250129,15567,0,NaN,2021-08-24T09:00:10Z,14214.0,1027,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
4,bXR8ttEs8FU,코로나 시국 동유럽 국경 기차로 넘어보기 - 유럽여행 〔4〕,19,495665,10587,0,NaN,2021-08-28T09:00:13Z,14118.0,1004,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
5,SzysA8xbKAA,극 성수기 크로아티아의 에메랄드 바다를 아주 싸게 여행해 보자 - 유럽여행 〔5〕,19,757229,15770,0,NaN,2021-09-01T09:00:20Z,14022.0,1190,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
6,qevXy0J-wsk,아무도 찾지 않는 크로아티아의 자그레브 외곽 탐험하기 - 유럽여행 〔6〕,19,407497,9309,0,NaN,2021-09-05T09:00:34Z,13926.0,1198,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
7,SMKtqW97d1o,크로아티아 스플리트 스쿠터 여행기 - 유럽여행 〔7〕,19,461418,10129,0,NaN,2021-09-09T09:00:11Z,13830.0,1152,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
8,0FA-Vyh9SBQ,스위스 뺨치는 크로아티아 두브로브니크 물가 체험하기 - 유럽여행 〔8〕,19,450535,10862,0,NaN,2021-09-13T09:00:00Z,13734.01,1009,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
9,dH4nTV-1X98,버스로 보스니아 헤르체고비나 국경 넘어보기 - 유럽여행 〔9〕,19,605599,12325,0,NaN,2021-09-19T10:00:14Z,13589.0,1246,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
