,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags
0,pd5AvcrQEgA,[빼꼼(Benard Bear) 시즌3] 1화 탁구,1,1165282,1320,0,NaN,2014-03-03T03:00:06Z,79764.02,212,"['코카콜라', '지하철', 'PLAYYANI', '라바', 'PLAYY Anime', '백곰', '빼꼼', 'larva', '하얀곰', '빼꼼시리즈', '빼꼼몰아보기', '빼꼼1', '빼꼼2', '북극곰', '흰곰', '곰', '스포츠만화', '스포츠종목', '스포츠', '축구', '테니스', '플레이키즈', '플레이애니', '애니', '키즈', '넌버벌', '유아만화', '학습만화', '무료만화', '무료애니', '몰아보기', '북극', '운동']"
1,VOjPZpk2W6g,[빼꼼(Benard Bear) 시즌3] 2화 에어로빅,1,298478,375,0,NaN,2014-03-04T02:06:54Z,79740.9,205,"['라바', '빼꼼', '백곰', '지하철', 'PLAYYANI', '하얀곰', '코카콜라', 'larva', 'PLAYY Anime', '빼꼼시리즈', '빼꼼몰아보기', '빼꼼1', '빼꼼2', '북극곰', '흰곰', '곰', '스포츠만화', '스포츠종목', '스포츠', '축구', '테니스', '플레이키즈', '플레이애니', '애니', '키즈', '넌버벌', '유아만화', '학습만화', '무료만화', '무료애니', '몰아보기', '북극', '운동']"
2,zVWwA_SPn-8,[빼꼼(Benard Bear) 시즌3] 3화 수영,1,8020213,12790,0,NaN,2014-03-05T02:02:13Z,79716.98,207,"['하얀곰', '빼꼼', 'PLAYYANI', 'PLAYY Anime', 'larva', '라바', '지하철', '코카콜라', '백곰', '빼꼼시리즈', '빼꼼몰아보기', '빼꼼1', '빼꼼2', '북극곰', '흰곰', '곰', '스포츠만화', '스포츠종목', '스포츠', '축구', '테니스', '플레이키즈', '플레이애니', '애니', '키즈', '넌버벌', '유아만화', '학습만화', '무료만화', '무료애니', '몰아보기', '북극', '운동']"
3,eU3Ce7h_O7Q,[빼꼼(Benard Bear) 시즌3] 4화 윈드서핑,1,2175073,2665,0,NaN,2014-03-06T02:24:44Z,79692.61,213,"['하얀곰', '백곰', '빼꼼', 'larva', 'PLAYY Anime', 'PLAYYANI', '코카콜라', '라바', '지하철', '빼꼼시리즈', '빼꼼몰아보기', '빼꼼1', '빼꼼2', '북극곰', '흰곰', '곰', '스포츠만화', '스포츠종목', '스포츠', '축구', '테니스', '플레이키즈', '플레이애니', '애니', '키즈', '넌버벌', '유아만화', '학습만화', '무료만화', '무료애니', '몰아보기', '북극', '운동', '서핑', '윈드서핑']"
4,YKzsTUAHkw4,[빼꼼(Benard Bear) 시즌3] 5화 경기장 가는 길,1,3995053,6053,0,NaN,2014-03-10T02:43:10Z,79596.3,236,"['빼꼼', '지하철', '코카콜라', 'PLAYYANI', '라바', '하얀곰', '백곰', 'PLAYY Anime', 'larva', '빼꼼시리즈', '빼꼼몰아보기', '빼꼼1', '빼꼼2', '북극곰', '흰곰', '곰', '스포츠만화', '스포츠종목', '스포츠', '축구', '테니스', '플레이키즈', '플레이애니', '애니', '키즈', '넌버벌', '유아만화', '학습만화', '무료만화', '무료애니', '몰아보기', '북극', '운동']"
5,jZ7rYxZvvX4,[빼꼼(Benard Bear) 시즌3] 6화 스키,1,271949,219,0,NaN,2014-03-10T03:08:57Z,79595.87,224,"['빼꼼', 'larva', 'PLAYYANI', '지하철', '라바', '하얀곰', '백곰', 'PLAYY Anime', '코카콜라', '빼꼼시리즈', '빼꼼몰아보기', '빼꼼1', '빼꼼2', '북극곰', '흰곰', '곰', '스포츠만화', '스포츠종목', '스포츠', '축구', '테니스', '플레이키즈', '플레이애니', '애니', '키즈', '넌버벌', '유아만화', '학습만화', '무료만화', '무료애니', '몰아보기', '북극', '운동']"
6,4lVBACDq9vE,[빼꼼(Benard Bear) 시즌3] 7화 핸드볼,1,279584,363,0,NaN,2014-03-10T03:35:08Z,79595.43,218,"['코카콜라', 'PLAYY Anime', 'PLAYYANI', 'larva', '하얀곰', '백곰', '지하철', '라바', '빼꼼', '빼꼼시리즈', '빼꼼몰아보기', '빼꼼1', '빼꼼2', '북극곰', '흰곰', '곰', '스포츠만화', '스포츠종목', '스포츠', '축구', '테니스', '플레이키즈', '플레이애니', '애니', '키즈', '넌버벌', '유아만화', '학습만화', '무료만화', '무료애니', '몰아보기', '북극', '운동']"
7,uMBFnxqu6MQ,[빼꼼(Benard Bear) 시즌3] 8화 해머 던지기,1,187160,217,0,NaN,2014-03-11T04:45:45Z,79570.26,201,"['코카콜라', '라바', '빼꼼', '백곰', 'larva', 'PLAYY Anime', 'PLAYYANI', '하얀곰', '지하철', '빼꼼시리즈', '빼꼼몰아보기', '빼꼼1', '빼꼼2', '북극곰', '흰곰', '곰', '스포츠만화', '스포츠종목', '스포츠', '축구', '테니스', '플레이키즈', '플레이애니', '애니', '키즈', '넌버벌', '유아만화', '학습만화', '무료만화', '무료애니', '몰아보기', '북극', '운동']"
8,D6YCvOs0_Fo,[빼꼼(Benard Bear) 시즌3] 9화 배드민턴,1,147227,219,0,NaN,2014-03-12T02:58:11Z,79548.05,190,"['빼꼼', '라바', 'PLAYYANI', 'PLAYY Anime', '백곰', '하얀곰', 'larva', '지하철', '코카콜라', '빼꼼시리즈', '빼꼼몰아보기', '빼꼼1', '빼꼼2', '북극곰', '흰곰', '곰', '스포츠만화', '스포츠종목', '스포츠', '축구', '테니스', '플레이키즈', '플레이애니', '애니', '키즈', '넌버벌', '유아만화', '학습만화', '무료만화', '무료애니', '몰아보기', '북극', '운동']"
9,fCL4KswnUE4,[빼꼼(Benard Bear) 시즌3] 10화 마라톤2,1,173541,231,0,NaN,2014-03-13T05:04:43Z,79521.94,227,"['라바', '빼꼼', '지하철', '하얀곰', '백곰', 'PLAYY Anime', 'larva', '코카콜라', 'PLAYYANI', '빼꼼시리즈', '빼꼼몰아보기', '빼꼼1', '빼꼼2', '북극곰', '흰곰', '곰', '스포츠만화', '스포츠종목', '스포츠', '축구', '테니스', '플레이키즈', '플레이애니', '애니', '키즈', '넌버벌', '유아만화', '학습만화', '무료만화', '무료애니', '몰아보기', '북극', '운동']"
