,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags
0,eQBs94MGSjA,[오늘은 우쿨렐레] 1. 우쿨렐레 독학으로 처음 배우기,10,51329,NaN,0,NaN,2019-07-15T04:22:26Z,32722.66,1060,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레', '우쿨렐레레슨']"
1,nR28jcpvMHU,[오늘은 우쿨렐레] 2. 8비트 고고  왈츠 연습,10,20453,NaN,0,NaN,2019-07-16T10:15:11Z,32692.78,1044,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
2,RRexNMT1sXE,[오늘은 우쿨렐레] 3. 스윙  셔플 리듬 연습. 바블껌-연가,10,30805,NaN,0,NaN,2019-07-19T13:51:44Z,32617.17,830,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
3,4LAPJnZdD3w,[오늘은 우쿨렐레] 4. 칼립소 리듬 연습. 동물농장  남궁옥분 - 꿈을 먹는 젊은이,10,18691,NaN,0,NaN,2019-07-19T15:34:48Z,32615.45,949,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
4,zIFGv-24_wk,[오늘은 우쿨렐레] 5. 컷팅 연습. 코끼리 아저씨,10,13023,NaN,0,NaN,2019-07-23T10:32:09Z,32524.49,930,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
5,4UaVODtWpGU,[오늘은 우쿨렐레] 6. 슬로우락 리듬  아르페지오 연습. 양희은 - 이루어질 수 없는 사랑,10,34384,NaN,0,NaN,2019-07-24T13:58:53Z,32497.05,998,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
6,_LHTnP8o488,[오늘은 우쿨렐레] 7. 8비트  스윙리듬 연습  초록바다  악동뮤지션 - I Love You,10,11235,NaN,0,NaN,2019-08-05T10:35:03Z,32212.45,1282,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
7,t-rOlMmHOB0,[오늘은 우쿨렐레] 8. 버스커버스커 - 벚꽃엔딩,10,8960,NaN,0,NaN,2019-08-06T07:52:58Z,32191.15,743,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
8,to0M4XgLJxs,[오늘은 우쿨렐레] 9. 이문세 - 사랑이 지나가면,10,9601,NaN,0,NaN,2019-08-06T10:32:47Z,32188.48,799,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
9,o1d_lvStixU,[오늘은 우쿨렐레] 10. 생일 축하 노래,10,15083,NaN,0,NaN,2019-08-10T09:58:23Z,32093.06,546,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
10,KKdT76fzF9Y,[오늘은 우쿨렐레] 11. 연가_G키,10,6411,NaN,0,NaN,2019-08-11T00:16:25Z,32078.76,339,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
11,qUsgmaaD09o,[오늘은 우쿨렐레] 12. 장미여관 - 봉숙이,10,4800,NaN,0,NaN,2019-08-11T04:27:21Z,32074.57,954,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
12,Yvs6hI5ItlQ,[오늘은 우쿨렐레] 13. 장미여관  심은경 - 나성에 가면,10,4723,NaN,0,NaN,2019-08-11T06:29:40Z,32072.54,580,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
13,7Ml-qwY1FN0,[오늘은 우쿨렐레] 14. Knockin' On Heaven's Door - Bob Dylan  Avril Ravigne   16비트 고고 연습,10,4115,NaN,0,NaN,2019-08-17T10:52:42Z,31924.15,1231,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
14,_XI05bXc9Ao,[오늘은 우쿨렐레] 15. 등대지기  6/8박자 왈츠 연습,10,4526,NaN,0,NaN,2019-08-18T05:39:32Z,31905.37,420,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
15,tB3Lz-TT4jI,[오늘은 우쿨렐레] 16. 날아라 슈퍼보드 - 김수철  컷팅연습,10,2642,NaN,0,NaN,2019-08-18T08:14:27Z,31902.79,682,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
16,_uMFi6bKOso,[오늘은 우쿨렐레] 17. 젊은 그대 - 김수철  컷팅연습,10,3257,NaN,0,NaN,2019-08-19T03:31:55Z,31883.5,488,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
17,T4oWPcp0tsU,[오늘은 우쿨렐레] 18. 앞으로  스윙리듬 컷팅연습,10,2025,NaN,0,NaN,2019-08-27T05:39:36Z,31689.37,467,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
18,mx2-CC0dv6M,[오늘은 우쿨렐레] 19. 조개껍질  8비트 리듬 연습,10,2870,NaN,0,NaN,2019-08-28T12:46:57Z,31658.25,378,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
19,JWh5pNDCqmM,[오늘은 우쿨렐레] 20. 개구쟁이-산울림  숲속을 걸어요  8비트 리듬 연습,10,2690,NaN,0,NaN,2019-08-28T13:22:12Z,31657.66,627,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
20,X6syLSB_Tlk,[오늘은 우쿨렐레] 21. 당신은 사랑받기 위해 태어난 사람,10,11251,NaN,0,NaN,2019-09-03T11:14:24Z,31515.79,1227,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
21,mpmLhVXpGQI,[오늘은 우쿨렐레] 22. 꼬마야 - 산울림,10,4784,NaN,0,NaN,2019-09-03T15:25:55Z,31511.6,1011,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
22,8SBKTwmKYQ4,[오늘은 우쿨렐레] 23. 우쿨렐레 도레미파  스케일 연습,10,12435,NaN,0,NaN,2019-09-05T11:02:09Z,31467.99,1759,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
23,YNMSWGrNsmM,[오늘은 우쿨렐레] 24. 담다디 - 이상은,10,3687,NaN,0,NaN,2019-09-10T06:32:02Z,31352.5,592,"['ezguitar.net', '황선생기타교실', '우쿨렐레독학', '우쿨렐레초보', '우쿨렐레레슨', '우쿨렐레강좌', '우쿨렐레배우기', '우크렐레']"
