,id,title,category_id,views,likes,favorites,comments,date,date_gap_hours,duration,tags
0,1isoZVQ9DxY,RESIDENT EVIL 4 REMAKE CHAINSAW DEMO PS5 Full Walkthrough Gameplay Part 1 & ENDING (RE4 REMAKE),20,385779,16239,0,NaN,2023-03-14T18:00:58Z,41336.6,1947,"['Resident Evil 4', 'Resident Evil 4 Remake', 'RE4 Remake', 'RE4', 'Resident Evil 4 Remake Part 1', 'Resident Evil 4 Remake Gameplay', 'Resident Evil 4 Remake Walkthrough', 'Resident Evil 4 Remake Walkthrough Part 1', 'Resident Evil 4 Remake Full Game', 'Resident Evil 4 Remake Full Gameplay', 'RE4 Remake Gameplay Walkthrough', 'RE4 Remake Part 1', 'RE4 Remake Gameplay Part 1', 'RE4 Remake Gameplay', 'Resident Evil 4 Remake PS5 Gameplay', 'Resident Evil 4 Remake Ending', 'RE4 Gameplay', 'RE4 Remake Commentary']"
1,PoxN8M2RDG0,RESIDENT EVIL 4 REMAKE Walkthrough Gameplay Part 1 - INTRO (FULL GAME),20,1488125,64768,0,NaN,2023-03-23T11:00:27Z,28797.06,3815,"['Resident Evil 4', 'Resident Evil 4 Remake', 'RE4 Remake', 'RE4', 'Resident Evil 4 Remake Part 1', 'Resident Evil 4 Remake Gameplay', 'Resident Evil 4 Remake Walkthrough', 'Resident Evil 4 Remake Walkthrough Part 1', 'Resident Evil 4 Remake Full Game', 'Resident Evil 4 Remake Full Gameplay', 'RE4 Remake Gameplay Walkthrough', 'RE4 Remake Part 1', 'RE4 Remake Gameplay Part 1', 'RE4 Remake Gameplay', 'Resident Evil 4 Remake PS5 Gameplay', 'Resident Evil 4 Remake Ending', 'RE4 Gameplay', 'RE4 Remake Commentary']"
2,GUUDMZ15ons,RESIDENT EVIL 4 REMAKE Walkthrough Gameplay Part 2 - LUIS SERRA (FULL GAME),20,559526,23476,0,NaN,2023-03-24T00:00:05Z,28017.43,1968,"['Resident Evil 4', 'Resident Evil 4 Remake', 'RE4 Remake', 'RE4', 'Resident Evil 4 Remake Part 1', 'Resident Evil 4 Remake Gameplay', 'Resident Evil 4 Remake Walkthrough', 'Resident Evil 4 Remake Walkthrough Part 1', 'Resident Evil 4 Remake Full Game', 'Resident Evil 4 Remake Full Gameplay', 'RE4 Remake Gameplay Walkthrough', 'RE4 Remake Part 1', 'RE4 Remake Gameplay Part 1', 'RE4 Remake Gameplay', 'Resident Evil 4 Remake PS5 Gameplay', 'Resident Evil 4 Remake Ending', 'RE4 Gameplay', 'RE4 Remake Commentary']"
3,BZxzSyjhNuU,RESIDENT EVIL 4 REMAKE Walkthrough Gameplay Part 3 - BITORES MENDEZ (FULL GAME),20,427084,18626,0,NaN,2023-03-24T14:00:04Z,27177.45,1954,"['Resident Evil 4', 'Resident Evil 4 Remake', 'RE4 Remake', 'RE4', 'Resident Evil 4 Remake Part 1', 'Resident Evil 4 Remake Gameplay', 'Resident Evil 4 Remake Walkthrough', 'Resident Evil 4 Remake Walkthrough Part 1', 'Resident Evil 4 Remake Full Game', 'Resident Evil 4 Remake Full Gameplay', 'RE4 Remake Gameplay Walkthrough', 'RE4 Remake Part 1', 'RE4 Remake Gameplay Part 1', 'RE4 Remake Gameplay', 'Resident Evil 4 Remake PS5 Gameplay', 'Resident Evil 4 Remake Ending', 'RE4 Gameplay', 'RE4 Remake Commentary']"
4,NEnNHvds65I,RESIDENT EVIL 4 REMAKE Walkthrough Gameplay Part 4 - THE MERCHANT (FULL GAME),20,378042,16536,0,NaN,2023-03-24T20:00:06Z,26817.41,1953,"['Resident Evil 4', 'Resident Evil 4 Remake', 'RE4 Remake', 'RE4', 'Resident Evil 4 Remake Part 1', 'Resident Evil 4 Remake Gameplay', 'Resident Evil 4 Remake Walkthrough', 'Resident Evil 4 Remake Walkthrough Part 1', 'Resident Evil 4 Remake Full Game', 'Resident Evil 4 Remake Full Gameplay', 'RE4 Remake Gameplay Walkthrough', 'RE4 Remake Part 1', 'RE4 Remake Gameplay Part 1', 'RE4 Remake Gameplay', 'Resident Evil 4 Remake PS5 Gameplay', 'Resident Evil 4 Remake Ending', 'RE4 Gameplay', 'RE4 Remake Commentary']"
5,7Iw5zLcJrTw,RESIDENT EVIL 4 REMAKE Walkthrough Gameplay Part 5 - MINI-GAME (FULL GAME),20,320485,13625,0,NaN,2023-03-25T14:00:04Z,25737.45,1969,"['Resident Evil 4', 'Resident Evil 4 Remake', 'RE4 Remake', 'RE4', 'Resident Evil 4 Remake Part 1', 'Resident Evil 4 Remake Gameplay', 'Resident Evil 4 Remake Walkthrough', 'Resident Evil 4 Remake Walkthrough Part 1', 'Resident Evil 4 Remake Full Game', 'Resident Evil 4 Remake Full Gameplay', 'RE4 Remake Gameplay Walkthrough', 'RE4 Remake Part 1', 'RE4 Remake Gameplay Part 1', 'RE4 Remake Gameplay', 'Resident Evil 4 Remake PS5 Gameplay', 'Resident Evil 4 Remake Ending', 'RE4 Gameplay', 'RE4 Remake Commentary']"
6,1bwft4RXa30,RESIDENT EVIL 4 REMAKE Walkthrough Gameplay Part 6 - DEL LAGO BOSS (FULL GAME),20,334218,14342,0,NaN,2023-03-25T20:00:00Z,25377.52,2071,"['Resident Evil 4', 'Resident Evil 4 Remake', 'RE4 Remake', 'RE4', 'Resident Evil 4 Remake Part 1', 'Resident Evil 4 Remake Gameplay', 'Resident Evil 4 Remake Walkthrough', 'Resident Evil 4 Remake Walkthrough Part 1', 'Resident Evil 4 Remake Full Game', 'Resident Evil 4 Remake Full Gameplay', 'RE4 Remake Gameplay Walkthrough', 'RE4 Remake Part 1', 'RE4 Remake Gameplay Part 1', 'RE4 Remake Gameplay', 'Resident Evil 4 Remake PS5 Gameplay', 'Resident Evil 4 Remake Ending', 'RE4 Gameplay', 'RE4 Remake Commentary']"
7,_kNr8CaJkek,RESIDENT EVIL 4 REMAKE Walkthrough Gameplay Part 7 - EL GIGANTE BOSS (FULL GAME),20,303294,13758,0,NaN,2023-03-26T14:00:20Z,24297.19,2066,"['Resident Evil 4', 'Resident Evil 4 Remake', 'RE4 Remake', 'RE4', 'Resident Evil 4 Remake Part 1', 'Resident Evil 4 Remake Gameplay', 'Resident Evil 4 Remake Walkthrough', 'Resident Evil 4 Remake Walkthrough Part 1', 'Resident Evil 4 Remake Full Game', 'Resident Evil 4 Remake Full Gameplay', 'RE4 Remake Gameplay Walkthrough', 'RE4 Remake Part 1', 'RE4 Remake Gameplay Part 1', 'RE4 Remake Gameplay', 'Resident Evil 4 Remake PS5 Gameplay', 'Resident Evil 4 Remake Ending', 'RE4 Gameplay', 'RE4 Remake Commentary']"
8,pHvB-umf0OY,RESIDENT EVIL 4 REMAKE Walkthrough Gameplay Part 8 - ASHLEY GRAHAM (FULL GAME),20,290279,14357,0,NaN,2023-03-26T20:00:21Z,23937.17,2083,"['Resident Evil 4', 'Resident Evil 4 Remake', 'RE4 Remake', 'RE4', 'Resident Evil 4 Remake Part 1', 'Resident Evil 4 Remake Gameplay', 'Resident Evil 4 Remake Walkthrough', 'Resident Evil 4 Remake Walkthrough Part 1', 'Resident Evil 4 Remake Full Game', 'Resident Evil 4 Remake Full Gameplay', 'RE4 Remake Gameplay Walkthrough', 'RE4 Remake Part 1', 'RE4 Remake Gameplay Part 1', 'RE4 Remake Gameplay', 'Resident Evil 4 Remake PS5 Gameplay', 'Resident Evil 4 Remake Ending', 'RE4 Gameplay', 'RE4 Remake Commentary']"
9,890Co8OBjfs,RESIDENT EVIL 4 REMAKE Walkthrough Gameplay Part 9 - ADA WONG (FULL GAME),20,263944,13208,0,NaN,2023-03-27T14:00:04Z,22857.46,1802,"['Resident Evil 4', 'Resident Evil 4 Remake', 'RE4 Remake', 'RE4', 'Resident Evil 4 Remake Part 1', 'Resident Evil 4 Remake Gameplay', 'Resident Evil 4 Remake Walkthrough', 'Resident Evil 4 Remake Walkthrough Part 1', 'Resident Evil 4 Remake Full Game', 'Resident Evil 4 Remake Full Gameplay', 'RE4 Remake Gameplay Walkthrough', 'RE4 Remake Part 1', 'RE4 Remake Gameplay Part 1', 'RE4 Remake Gameplay', 'Resident Evil 4 Remake PS5 Gameplay', 'Resident Evil 4 Remake Ending', 'RE4 Gameplay', 'RE4 Remake Commentary']"
