,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,3gQVr8Fp7W8,MLB 23 Road to the Show - Part 1 - The Beginning,20,375858,10838,0,NaN,2023-03-24T21:10:25Z,1233,"['mlb 23', 'mlb 23 road to the show', 'mlb 2023', 'mlb 2023 road to the show', 'lets play', 'walkthrough', 'playthrough', 'guide', 'gameplay', 'game play', 'ps5', 'playstation 5', 'xbox series x', 'road to the show', 'mlb 23 ps5', 'mlb the show 23', 'mlb the show 23 gameplay', 'mlb the show 23 road to the show', 'mlb the show 23 diamond dynasty', 'mlb the show', 'mlb the show 23 pack opening']"
1,L8OOhe8gIYk,MLB 23 Road to the Show - Part 2 - This Was a DISASTER,20,160375,5584,0,NaN,2023-03-25T20:02:00Z,1086,"['mlb 23', 'mlb 23 road to the show', 'mlb 2023', 'mlb 2023 road to the show', 'lets play', 'walkthrough', 'playthrough', 'guide', 'gameplay', 'game play', 'ps5', 'playstation 5', 'xbox series x', 'road to the show', 'mlb 23 ps5', 'mlb the show 23', 'mlb the show 23 gameplay', 'mlb the show 23 road to the show', 'mlb the show 23 diamond dynasty', 'mlb the show', 'mlb the show 23 pack opening']"
2,03qNhcHCfsk,MLB 23 Road to the Show - Part 3 - FIRST PACK OPENING!,20,126463,4679,0,NaN,2023-03-26T19:43:34Z,1124,"['mlb 23', 'mlb 23 road to the show', 'mlb 2023', 'mlb 2023 road to the show', 'lets play', 'walkthrough', 'playthrough', 'guide', 'gameplay', 'game play', 'ps5', 'playstation 5', 'xbox series x', 'road to the show', 'mlb 23 ps5', 'mlb the show 23', 'mlb the show 23 gameplay', 'mlb the show 23 road to the show', 'mlb the show 23 diamond dynasty', 'mlb the show', 'mlb the show 23 pack opening']"
3,cPHg6QxG5vE,MLB 23 Road to the Show - Part 4 - INCREDIBLE CLUTCH PLAY,20,133018,4778,0,NaN,2023-03-27T21:06:50Z,1202,"['mlb 23', 'mlb 23 road to the show', 'mlb 2023', 'mlb 2023 road to the show', 'lets play', 'walkthrough', 'playthrough', 'guide', 'gameplay', 'game play', 'ps5', 'playstation 5', 'xbox series x', 'road to the show', 'mlb 23 ps5', 'mlb the show 23', 'mlb the show 23 gameplay', 'mlb the show 23 road to the show', 'mlb the show 23 diamond dynasty', 'mlb the show', 'mlb the show 23 pack opening']"
4,TWIhGWP7WqA,MLB 23 Road to the Show - Part 5 - Best Cleats Money Can Buy ($50k),20,111661,4498,0,NaN,2023-03-30T19:00:20Z,1008,"['mlb 23', 'mlb 23 road to the show', 'mlb 2023', 'mlb 2023 road to the show', 'lets play', 'walkthrough', 'playthrough', 'guide', 'gameplay', 'game play', 'ps5', 'playstation 5', 'xbox series x', 'road to the show', 'mlb 23 ps5', 'mlb the show 23', 'mlb the show 23 gameplay', 'mlb the show 23 road to the show', 'mlb the show 23 diamond dynasty', 'mlb the show', 'mlb the show 23 pack opening']"
5,KIPrfEzf7N0,MLB 23 Road to the Show - Part 6 - POWER SWINGS ONLY!,20,152394,4571,0,NaN,2023-03-31T19:19:23Z,1557,"['mlb 23', 'mlb 23 road to the show', 'mlb 2023', 'mlb 2023 road to the show', 'lets play', 'walkthrough', 'playthrough', 'guide', 'gameplay', 'game play', 'ps5', 'playstation 5', 'xbox series x', 'road to the show', 'mlb 23 ps5', 'mlb the show 23', 'mlb the show 23 gameplay', 'mlb the show 23 road to the show', 'mlb the show 23 diamond dynasty', 'mlb the show', 'mlb the show 23 pack opening']"
6,v2O3CA_ptd8,MLB 23 Road to the Show - Part 7 - STEALING THIRD BASE?!,20,95853,3772,0,NaN,2023-04-01T19:27:29Z,1089,"['mlb 23', 'mlb 23 road to the show', 'mlb 2023', 'mlb 2023 road to the show', 'lets play', 'walkthrough', 'playthrough', 'guide', 'gameplay', 'game play', 'ps5', 'playstation 5', 'xbox series x', 'road to the show', 'mlb 23 ps5', 'mlb the show 23', 'mlb the show 23 gameplay', 'mlb the show 23 road to the show', 'mlb the show 23 diamond dynasty', 'mlb the show', 'mlb the show 23 pack opening']"
7,9stu7UDiK4s,MLB 23 Road to the Show - Part 8 - The Maximum Upgrade,20,120047,4412,0,NaN,2023-04-02T19:33:36Z,1240,"['mlb 23', 'mlb 23 road to the show', 'mlb 2023', 'mlb 2023 road to the show', 'lets play', 'walkthrough', 'playthrough', 'guide', 'gameplay', 'game play', 'ps5', 'playstation 5', 'xbox series x', 'road to the show', 'mlb 23 ps5', 'mlb the show 23', 'mlb the show 23 gameplay', 'mlb the show 23 road to the show', 'mlb the show 23 diamond dynasty', 'mlb the show', 'mlb the show 23 pack opening']"
8,gk-xwKddsOQ,MLB 23 Road to the Show - Part 9 - Hitting the Gym,20,92967,3780,0,NaN,2023-04-04T22:13:28Z,1071,"['mlb 23', 'mlb 23 road to the show', 'mlb 2023', 'mlb 2023 road to the show', 'lets play', 'walkthrough', 'playthrough', 'guide', 'gameplay', 'game play', 'ps5', 'playstation 5', 'xbox series x', 'road to the show', 'mlb 23 ps5', 'mlb the show 23', 'mlb the show 23 gameplay', 'mlb the show 23 road to the show', 'mlb the show 23 diamond dynasty', 'mlb the show', 'mlb the show 23 pack opening']"
9,8GJviduSju0,MLB 23 Road to the Show - Part 10 - Most Disrespectful Bat Flip,20,99854,4187,0,NaN,2023-04-05T23:03:28Z,1115,"['mlb 23', 'mlb 23 road to the show', 'mlb 2023', 'mlb 2023 road to the show', 'lets play', 'walkthrough', 'playthrough', 'guide', 'gameplay', 'game play', 'ps5', 'playstation 5', 'xbox series x', 'road to the show', 'mlb 23 ps5', 'mlb the show 23', 'mlb the show 23 gameplay', 'mlb the show 23 road to the show', 'mlb the show 23 diamond dynasty', 'mlb the show', 'mlb the show 23 pack opening']"
