,title,category_id,views,likes,favorites,comments,date,tags
0,"""노력은 배신한다"" 코드 쿤스트의 인생 특강 | ODG",24,181990,6488,0,NaN,2023-03-28T09:00:07Z,NaN
1,"""한국생활 13년 vs 13살"" 우리말 대결 (feat. 뱀뱀) | ODG",24,219048,18367,0,NaN,2023-03-27T10:00:08Z,NaN
2,"""말죽거리 잔혹사는 알겠지"" 요즘 애들 생각 맞히기 (feat. 권상우, 이민정) | ODG",24,771645,11297,0,NaN,2022-12-20T10:00:18Z,NaN
3,구독자 16명 채널에 적재 출연시키기 | ODG,24,402082,10193,0,NaN,2022-11-24T11:00:12Z,NaN
4,"'캥거루 싸움..?' 호주 설명하기 (feat. 필릭스, 방찬 of Stray Kids)",24,1953356,170533,0,NaN,2022-10-21T10:00:10Z,NaN
5,"""되게 속상한 건 알겠어요"" 9살이 본 발라드",24,318721,8256,0,NaN,2022-10-14T11:00:09Z,NaN
6,10대가 아이돌을 만나는 건 어떤 의미일까 (feat.엔하이픈) | ODG,24,4764694,314970,0,NaN,2022-09-23T09:00:11Z,NaN
7,"""이건 알지.."" 6살의 생각 맞히기 (feat.류승룡, 염정아) | ODG",24,2004798,22327,0,NaN,2022-09-22T10:00:12Z,NaN
8,누구신데... '신호등'을 부르시죠? (Feat. 이무진) | ODG,24,1803743,29506,0,NaN,2022-07-04T10:30:08Z,NaN
9,"""이게 웃겨?"" 초등학생 vs 쿠기 웃참대결 | ODG",24,233029,8125,0,NaN,2022-06-27T10:00:13Z,NaN
10,마술사인척하는 지창욱 | ODG,24,697128,46151,0,NaN,2022-05-06T11:00:09Z,NaN
11,일본 아이와 친구되는 법 ep.2 (feat.사쿠라) | ODG,24,3844525,168592,0,NaN,2022-04-28T11:00:11Z,NaN
12,한국아이와 일본아이를 만난 사쿠라 ep.1 | ODG,24,4433218,178095,0,NaN,2022-04-26T11:00:11Z,NaN
13,'문 쾅' 하고 듣기 좋은 노래 (feat.선우정아) | ODG,24,130238,3936,0,NaN,2022-04-11T12:00:13Z,"['선우정아', 'swja']"
14,유부남 연예인 댓글 읽기 (feat.이석훈) | ODG,24,541098,16169,0,NaN,2022-04-05T13:10:43Z,NaN
15,제가 스파이더맨을 어떻게 만나요? | ODG,24,7400358,387431,0,NaN,2021-12-12T10:00:14Z,NaN
16,계속 물 트는 영화배우 | ODG,24,2841482,40218,0,NaN,2021-11-17T10:00:12Z,NaN
17,동갑 신세경 만나기 | ODG,24,1406957,35029,0,NaN,2021-11-05T14:00:12Z,NaN
18,미노이를 만난 초등학생이 하는 말  | ODG,24,1870514,42800,0,NaN,2021-10-19T11:00:14Z,NaN
19,"2010년, 데뷔 3일만에 1위. 그게 나야 | ODG",24,3561962,53234,0,NaN,2021-10-17T13:00:11Z,NaN
20,"""찍히기 싫을 때도 있어요?"" ITZY와 포토월 서보기 | ODG",24,2317629,115311,0,NaN,2021-10-06T11:30:32Z,NaN
21,드라마 캐릭터로 9살에게 말을 걸었다 (Feat.전도연) | ODG,24,747972,15677,0,NaN,2021-08-31T12:00:10Z,NaN
22,열등감 설명하기 (Feat.이승윤) | ODG,24,974179,27107,0,NaN,2021-08-04T11:00:10Z,NaN
23,"""나 배우처럼 생겼어?"" 조인성 설명하기 | ODG",24,2121491,59925,0,NaN,2021-07-13T11:00:11Z,NaN
24,음원 들려준다고 하고 실제로 부르기 (Feat. 빅마마) | ODG,24,12715518,287522,0,NaN,2021-07-02T11:00:14Z,NaN
25,아이돌과 학생들의 하루 비교 (Feat. NCT DREAM)| ODG,24,3479847,266915,0,NaN,2021-06-29T12:00:14Z,NaN
26,팬사인회 배우기 (Feat. 세븐틴) | ODG,24,3273729,252555,0,NaN,2021-06-18T12:00:12Z,NaN
27,"""쓰면서 울었어요"" 9살 이야기로 이별 노래 만들기 (feat. 헤이즈) | ODG",24,1353604,50231,0,NaN,2021-05-28T12:15:14Z,NaN
28,중2 연예인을 만난 중2 (feat. 정동원) | ODG,24,1282398,30927,0,NaN,2021-05-12T11:30:14Z,NaN
29,"""포기하고 싶었어"" 9살 쇼미팬과 같이보는 VVS (Feat. 미란이) | ODG",24,1803597,42226,0,NaN,2021-04-20T12:00:15Z,NaN
30,어른과 중2의 대화 (Feat. 웬디) | ODG,24,2160674,160607,0,NaN,2021-04-06T11:30:16Z,NaN
31,"""강하 알아요?"" 뚱뚱한 아이돌을 만난 아이들 | ODG",24,553155,16272,0,NaN,2021-04-05T13:00:17Z,NaN
32,아이유 모르는 척하기 챌린지 | ODG,24,21746715,833828,0,NaN,2021-04-02T12:00:15Z,NaN
33,교포어린이를 만난 K-어린이들 (feat. 제시) | ODG,24,5711691,313025,0,NaN,2021-03-24T13:00:16Z,NaN
34,청하 vs 초등학생 장기자랑 대결 | ODG,24,1210337,71584,0,NaN,2021-02-16T11:15:14Z,NaN
35,"""널 미워하는 사람 있어?"" 디스랩을 들은 아이들 (Feat. BOBBY) | ODG",24,3567892,216074,0,NaN,2021-02-09T12:15:16Z,NaN
36,엄마를 떠나보낸 어른을 만난 아이들 | ODG,24,1587933,68980,0,NaN,2020-11-13T12:00:11Z,NaN
37,외국인 아이돌을 만난 아이가 하는 말 (Feat. NCT),24,10319579,712487,0,NaN,2020-12-16T11:00:15Z,NaN
38,초등학생 vs 김농밀 암기력 대결 | ODG,24,1238474,28968,0,NaN,2020-11-22T10:00:13Z,NaN
39,아이들이 생각하는 자존감 (feat. 이수현) | ODG,24,955564,62835,0,NaN,2020-10-25T11:30:10Z,NaN
40,전역한 래퍼랑 같이 잠자기 (Feat. 로꼬)  | ODG,24,1026429,68829,0,NaN,2020-10-16T13:15:10Z,NaN
41,"""나 무서워?"" 치타를 만난 아이들 | ODG",24,6950176,212525,0,NaN,2020-08-19T14:00:10Z,NaN
42,"""얼마나 힘들었어요?"" YG 데뷔그룹을 만난 아이가 물어본 것 (Feat. TREASURE) | ODG",24,8811330,613913,0,NaN,2020-08-26T13:00:12Z,"['트레저', '트레져']"
43,"""다시 16살이 되어도, 케이팝스타에 나갈 건가요?"" 16살을 만난 이하이 | ODG",24,4794930,222070,0,NaN,2020-07-25T12:30:10Z,NaN
44,"""힘들었고, 우울했고, 죽고싶었어요""  아이들을 만난 빈첸 | ODG",24,3974376,182612,0,NaN,2020-07-16T09:17:17Z,NaN
45,"""형 목소리가 왜 그래요?"" 오토튠을 처음 들은 아이들(Feat. 식케이) | ODG",24,5176461,181951,0,NaN,2020-06-23T10:00:11Z,NaN
46,"""센스야, 너 대머리야 빡빡이야?"" 8살과 친구하기(feat. 이센스) | ODG",24,1577921,29992,0,NaN,2020-06-08T09:00:13Z,['이센스']
47,10살한테 외계인이라고 우기면 생기는 일  | ODG,22,995817,25495,0,NaN,2020-05-23T10:00:12Z,"['소코도모', '#sokodomo']"
48,교복을 입고 보는 첫 공연 (Feat. 새소년) | ODG,22,1435338,55279,0,NaN,2020-05-13T09:30:14Z,NaN
49,"""소름 돋았어"" 8살 작사, 코드쿤스트 작곡, 펀치넬로 랩 | ODG",24,6924776,183779,0,NaN,2020-04-06T12:02:24Z,NaN
50,"""엑소 알아요?"" 엑소를 만난 아이들 | ODG",22,10536721,720158,0,NaN,2020-04-01T10:00:15Z,NaN
51,뮤직비디오를 보고 놀란 아이들 (feat. DPR) | ODG,22,3365777,228366,0,NaN,2020-03-18T09:14:47Z,NaN
52,존박 노래를 들은 한국&미국아이의 반응 | Hyunho&Carson EP7 | ODG,22,4502395,161707,0,NaN,2020-03-09T14:10:14Z,NaN
53,2004년 대상 노래를 들은 아이들의 반응 | ODG,22,4175813,47807,0,NaN,2020-03-06T10:44:12Z,NaN
54,"""수업 내용을 이해 못 해"" 아역배우와 고등래퍼의 대화 | ODG",22,1892775,65109,0,NaN,2019-12-01T11:19:25Z,NaN
55,얼마전에 헤어졌어요? 지코와 이별에 대해 얘기하는 아이들 | ODG,22,7582677,396848,0,NaN,2019-11-13T10:53:24Z,NaN
56,AOMG 노래를 눈 앞에서 들은 아이들의 반응 | ODG,22,1540118,62560,0,NaN,2019-10-28T11:51:04Z,NaN
57,제 점수는요..! 아이들 앞에서 랩 평가받는 행주 | ODG,22,1882588,44887,0,NaN,2019-10-07T11:23:18Z,NaN
58,왜 술마셔요? 랩 가사를 들은 아이들의 반응  | ODG,22,453805,11145,0,NaN,2019-09-15T11:19:26Z,"['자이언트핑크', 'forever young']"
59,이모...누군데 노래 잘해요? 라이브를 눈 앞에서 본 아이들의 반응 | ODG,22,11293932,248442,0,NaN,2019-07-25T10:15:10Z,"['제아', 'Dear.Rude']"
60,발라드를 눈 앞에서 들은 아이들의 반응 | ODG,22,5055626,334354,0,NaN,2019-06-03T09:10:22Z,"['지진석', 'Good Night']"
