,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,2FLA_6A_i5A,STAR WARS JEDI SURVIVOR PS5 Walkthrough Gameplay Part 1 - INTRO (FULL GAME),20,1580227,71153,0,NaN,2023-04-27T15:00:02Z,3730,"['Star Wars Jedi Survivor', 'Jedi Survivor', 'Star Wars Jedi Survivor Gameplay', 'Jedi Survivor Gameplay', 'Star Wars Jedi Survivor Part 1', 'Jedi Survivor Part 1', 'Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Full Gameplay', 'Jedi Survivor Gameplay Part 1', 'Jedi Survivor Full Gameplay', 'Star Wars Jedi Survivor Review', 'Jedi Survivor Review', 'Star Wars Jedi Survivor Ending', 'Jedi Survivor Ending', 'Jedi Survivor Customizations', 'Jedi Survivor PS5']"
1,huFkHoWoYc4,STAR WARS JEDI SURVIVOR PS5 Walkthrough Gameplay Part 2 - NINTH SISTER (FULL GAME),20,540083,20143,0,NaN,2023-04-28T00:00:26Z,1866,"['Star Wars Jedi Survivor', 'Jedi Survivor', 'Star Wars Jedi Survivor Gameplay', 'Jedi Survivor Gameplay', 'Star Wars Jedi Survivor Part 1', 'Jedi Survivor Part 1', 'Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Full Gameplay', 'Jedi Survivor Gameplay Part 1', 'Jedi Survivor Full Gameplay', 'Star Wars Jedi Survivor Review', 'Jedi Survivor Review', 'Star Wars Jedi Survivor Ending', 'Jedi Survivor Ending', 'Jedi Survivor Customizations', 'Jedi Survivor PS5']"
2,AK5eYCCNaCA,STAR WARS JEDI SURVIVOR PS5 Walkthrough Gameplay Part 3 - BD-1 (FULL GAME),20,391547,14065,0,NaN,2023-04-28T14:00:07Z,1816,"['Star Wars Jedi Survivor', 'Jedi Survivor', 'Star Wars Jedi Survivor Gameplay', 'Jedi Survivor Gameplay', 'Star Wars Jedi Survivor Part 1', 'Jedi Survivor Part 1', 'Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Full Gameplay', 'Jedi Survivor Gameplay Part 1', 'Jedi Survivor Full Gameplay', 'Star Wars Jedi Survivor Review', 'Jedi Survivor Review', 'Star Wars Jedi Survivor Ending', 'Jedi Survivor Ending', 'Jedi Survivor Customizations', 'Jedi Survivor PS5']"
3,wpbmCGSuh9E,STAR WARS JEDI SURVIVOR PS5 Walkthrough Gameplay Part 4 - EXPLORING KOBOH (FULL GAME),20,332629,13727,0,NaN,2023-04-28T20:00:12Z,1903,"['Star Wars Jedi Survivor', 'Jedi Survivor', 'Star Wars Jedi Survivor Gameplay', 'Jedi Survivor Gameplay', 'Star Wars Jedi Survivor Part 1', 'Jedi Survivor Part 1', 'Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Full Gameplay', 'Jedi Survivor Gameplay Part 1', 'Jedi Survivor Full Gameplay', 'Star Wars Jedi Survivor Review', 'Jedi Survivor Review', 'Star Wars Jedi Survivor Ending', 'Jedi Survivor Ending', 'Jedi Survivor Customizations', 'Jedi Survivor PS5']"
4,PSsd7PcLWHE,STAR WARS JEDI SURVIVOR PS5 Walkthrough Gameplay Part 5 - RANCOR BOSS (FULL GAME),20,284875,12049,0,NaN,2023-04-29T02:00:14Z,1948,"['Star Wars Jedi Survivor', 'Jedi Survivor', 'Star Wars Jedi Survivor Gameplay', 'Jedi Survivor Gameplay', 'Star Wars Jedi Survivor Part 1', 'Jedi Survivor Part 1', 'Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Full Gameplay', 'Jedi Survivor Gameplay Part 1', 'Jedi Survivor Full Gameplay', 'Star Wars Jedi Survivor Review', 'Jedi Survivor Review', 'Star Wars Jedi Survivor Ending', 'Jedi Survivor Ending', 'Jedi Survivor Customizations', 'Jedi Survivor PS5']"
5,9OB7L8OIHf4,STAR WARS JEDI SURVIVOR PS5 Walkthrough Gameplay Part 6 - ZEE (FULL GAME),20,245648,10484,0,NaN,2023-04-29T14:00:05Z,1806,"['Star Wars Jedi Survivor', 'Jedi Survivor', 'Star Wars Jedi Survivor Gameplay', 'Jedi Survivor Gameplay', 'Star Wars Jedi Survivor Part 1', 'Jedi Survivor Part 1', 'Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Full Gameplay', 'Jedi Survivor Gameplay Part 1', 'Jedi Survivor Full Gameplay', 'Star Wars Jedi Survivor Review', 'Jedi Survivor Review', 'Star Wars Jedi Survivor Ending', 'Jedi Survivor Ending', 'Jedi Survivor Customizations', 'Jedi Survivor PS5']"
6,aGlNyZ8BgMk,STAR WARS JEDI SURVIVOR PS5 Walkthrough Gameplay Part 7 - JEDI CHAMBER (FULL GAME),20,244873,11110,0,NaN,2023-04-29T20:00:01Z,1804,"['Star Wars Jedi Survivor', 'Jedi Survivor', 'Star Wars Jedi Survivor Gameplay', 'Jedi Survivor Gameplay', 'Star Wars Jedi Survivor Part 1', 'Jedi Survivor Part 1', 'Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Full Gameplay', 'Jedi Survivor Gameplay Part 1', 'Jedi Survivor Full Gameplay', 'Star Wars Jedi Survivor Review', 'Jedi Survivor Review', 'Star Wars Jedi Survivor Ending', 'Jedi Survivor Ending', 'Jedi Survivor Customizations', 'Jedi Survivor PS5']"
7,C0TUq6Q9kzk,STAR WARS JEDI SURVIVOR PS5 Walkthrough Gameplay Part 8 - FOREST ARRAY (FULL GAME),20,222342,10509,0,NaN,2023-04-30T02:00:04Z,1811,"['Star Wars Jedi Survivor', 'Jedi Survivor', 'Star Wars Jedi Survivor Gameplay', 'Jedi Survivor Gameplay', 'Star Wars Jedi Survivor Part 1', 'Jedi Survivor Part 1', 'Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Full Gameplay', 'Jedi Survivor Gameplay Part 1', 'Jedi Survivor Full Gameplay', 'Star Wars Jedi Survivor Review', 'Jedi Survivor Review', 'Star Wars Jedi Survivor Ending', 'Jedi Survivor Ending', 'Jedi Survivor Customizations', 'Jedi Survivor PS5']"
8,2dP7wJt2JPU,STAR WARS JEDI SURVIVOR PS5 Walkthrough Gameplay Part 9 - DAGAN GERA BOSS (FULL GAME),20,205453,9198,0,NaN,2023-04-30T14:00:01Z,1903,"['Star Wars Jedi Survivor', 'Jedi Survivor', 'Star Wars Jedi Survivor Gameplay', 'Jedi Survivor Gameplay', 'Star Wars Jedi Survivor Part 1', 'Jedi Survivor Part 1', 'Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Full Gameplay', 'Jedi Survivor Gameplay Part 1', 'Jedi Survivor Full Gameplay', 'Star Wars Jedi Survivor Review', 'Jedi Survivor Review', 'Star Wars Jedi Survivor Ending', 'Jedi Survivor Ending', 'Jedi Survivor Customizations', 'Jedi Survivor PS5']"
9,fXzcKzvDizU,STAR WARS JEDI SURVIVOR PS5 Walkthrough Gameplay Part 10 - JEDHA (FULL GAME),20,209121,9043,0,NaN,2023-04-30T20:00:07Z,2023,"['Star Wars Jedi Survivor', 'Jedi Survivor', 'Star Wars Jedi Survivor Gameplay', 'Jedi Survivor Gameplay', 'Star Wars Jedi Survivor Part 1', 'Jedi Survivor Part 1', 'Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Walkthrough', 'Star Wars Jedi Survivor Full Gameplay', 'Jedi Survivor Gameplay Part 1', 'Jedi Survivor Full Gameplay', 'Star Wars Jedi Survivor Review', 'Jedi Survivor Review', 'Star Wars Jedi Survivor Ending', 'Jedi Survivor Ending', 'Jedi Survivor Customizations', 'Jedi Survivor PS5']"
