,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,jTkBhEnXAO0,DEAD ISLAND 2 Walkthrough Gameplay Part 1 - INTRO (FULL GAME),20,1567825,62448,0,NaN,2023-04-20T15:00:37Z,4536,"['Dead Island 2', 'Dead Island 2 Gameplay', 'Dead Island 2 Full Gameplay', 'Dead Island 2 Part 1', 'Dead Island 2 Walkthrough', 'Dead Island 2 Gameplay Part 1', 'Dead Island 2 Walkthrough Part 1', 'Dead Island 2 Review', 'Dead Island 2 Full Game', 'Dead Island 2 Gameplay Walkthrough', 'Dead Island 2 PS5', 'Dead Island 2 PS5 Gameplay', 'Dead Island 2 Ending', 'Dead Island 2 Reaction', 'Dead Island Gameplay', 'Dead Island 2023', 'Dead Island 2 Commentary', 'Dead Island 2 PlayStation 5', 'Dead Island 2 2023']"
1,kwWxqVfHNtw,DEAD ISLAND 2 Walkthrough Gameplay Part 2 - BEL-AIR (FULL GAME),20,445629,15359,0,NaN,2023-04-20T23:00:28Z,1826,"['Dead Island 2', 'Dead Island 2 Gameplay', 'Dead Island 2 Full Gameplay', 'Dead Island 2 Part 1', 'Dead Island 2 Walkthrough', 'Dead Island 2 Gameplay Part 1', 'Dead Island 2 Walkthrough Part 1', 'Dead Island 2 Review', 'Dead Island 2 Full Game', 'Dead Island 2 Gameplay Walkthrough', 'Dead Island 2 PS5', 'Dead Island 2 PS5 Gameplay', 'Dead Island 2 Ending', 'Dead Island 2 Reaction', 'Dead Island Gameplay', 'Dead Island 2023', 'Dead Island 2 Commentary', 'Dead Island 2 PlayStation 5', 'Dead Island 2 2023']"
2,Ciku7_6i_20,DEAD ISLAND 2 Walkthrough Gameplay Part 3 - BECKI THE BRIDE BOSS (FULL GAME),20,350902,12614,0,NaN,2023-04-21T03:00:06Z,1833,"['Dead Island 2', 'Dead Island 2 Gameplay', 'Dead Island 2 Full Gameplay', 'Dead Island 2 Part 1', 'Dead Island 2 Walkthrough', 'Dead Island 2 Gameplay Part 1', 'Dead Island 2 Walkthrough Part 1', 'Dead Island 2 Review', 'Dead Island 2 Full Game', 'Dead Island 2 Gameplay Walkthrough', 'Dead Island 2 PS5', 'Dead Island 2 PS5 Gameplay', 'Dead Island 2 Ending', 'Dead Island 2 Reaction', 'Dead Island Gameplay', 'Dead Island 2023', 'Dead Island 2 Commentary', 'Dead Island 2 PlayStation 5', 'Dead Island 2 2023']"
3,ZMvJ8dN2vko,DEAD ISLAND 2 Walkthrough Gameplay Part 4 - EMMA (FULL GAME),20,260801,9583,0,NaN,2023-04-21T14:00:30Z,1815,"['Dead Island 2', 'Dead Island 2 Gameplay', 'Dead Island 2 Full Gameplay', 'Dead Island 2 Part 1', 'Dead Island 2 Walkthrough', 'Dead Island 2 Gameplay Part 1', 'Dead Island 2 Walkthrough Part 1', 'Dead Island 2 Review', 'Dead Island 2 Full Game', 'Dead Island 2 Gameplay Walkthrough', 'Dead Island 2 PS5', 'Dead Island 2 PS5 Gameplay', 'Dead Island 2 Ending', 'Dead Island 2 Reaction', 'Dead Island Gameplay', 'Dead Island 2023', 'Dead Island 2 Commentary', 'Dead Island 2 PlayStation 5', 'Dead Island 2 2023']"
4,FpfU3pZ-eIk,DEAD ISLAND 2 Walkthrough Gameplay Part 5 - RIKKY (FULL GAME),20,243326,9774,0,NaN,2023-04-21T20:00:06Z,2024,"['Dead Island 2', 'Dead Island 2 Gameplay', 'Dead Island 2 Full Gameplay', 'Dead Island 2 Part 1', 'Dead Island 2 Walkthrough', 'Dead Island 2 Gameplay Part 1', 'Dead Island 2 Walkthrough Part 1', 'Dead Island 2 Review', 'Dead Island 2 Full Game', 'Dead Island 2 Gameplay Walkthrough', 'Dead Island 2 PS5', 'Dead Island 2 PS5 Gameplay', 'Dead Island 2 Ending', 'Dead Island 2 Reaction', 'Dead Island Gameplay', 'Dead Island 2023', 'Dead Island 2 Commentary', 'Dead Island 2 PlayStation 5', 'Dead Island 2 2023']"
5,8ZOCfhjGD6I,DEAD ISLAND 2 Walkthrough Gameplay Part 6 - MOVIES (FULL GAME),20,228681,8368,0,NaN,2023-04-22T02:00:03Z,1988,"['Dead Island 2', 'Dead Island 2 Gameplay', 'Dead Island 2 Full Gameplay', 'Dead Island 2 Part 1', 'Dead Island 2 Walkthrough', 'Dead Island 2 Gameplay Part 1', 'Dead Island 2 Walkthrough Part 1', 'Dead Island 2 Review', 'Dead Island 2 Full Game', 'Dead Island 2 Gameplay Walkthrough', 'Dead Island 2 PS5', 'Dead Island 2 PS5 Gameplay', 'Dead Island 2 Ending', 'Dead Island 2 Reaction', 'Dead Island Gameplay', 'Dead Island 2023', 'Dead Island 2 Commentary', 'Dead Island 2 PlayStation 5', 'Dead Island 2 2023']"
6,fqj17lXL66o,DEAD ISLAND 2 Walkthrough Gameplay Part 7 - HOLY GRAIL (FULL GAME),20,169633,7054,0,NaN,2023-04-22T14:00:18Z,1814,"['Dead Island 2', 'Dead Island 2 Gameplay', 'Dead Island 2 Full Gameplay', 'Dead Island 2 Part 1', 'Dead Island 2 Walkthrough', 'Dead Island 2 Gameplay Part 1', 'Dead Island 2 Walkthrough Part 1', 'Dead Island 2 Review', 'Dead Island 2 Full Game', 'Dead Island 2 Gameplay Walkthrough', 'Dead Island 2 PS5', 'Dead Island 2 PS5 Gameplay', 'Dead Island 2 Ending', 'Dead Island 2 Reaction', 'Dead Island Gameplay', 'Dead Island 2023', 'Dead Island 2 Commentary', 'Dead Island 2 PlayStation 5', 'Dead Island 2 2023']"
7,rJl_pI7e0Xc,DEAD ISLAND 2 Walkthrough Gameplay Part 8 - SAM B (FULL GAME),20,188641,7059,0,NaN,2023-04-22T20:00:11Z,1989,"['Dead Island 2', 'Dead Island 2 Gameplay', 'Dead Island 2 Full Gameplay', 'Dead Island 2 Part 1', 'Dead Island 2 Walkthrough', 'Dead Island 2 Gameplay Part 1', 'Dead Island 2 Walkthrough Part 1', 'Dead Island 2 Review', 'Dead Island 2 Full Game', 'Dead Island 2 Gameplay Walkthrough', 'Dead Island 2 PS5', 'Dead Island 2 PS5 Gameplay', 'Dead Island 2 Ending', 'Dead Island 2 Reaction', 'Dead Island Gameplay', 'Dead Island 2023', 'Dead Island 2 Commentary', 'Dead Island 2 PlayStation 5', 'Dead Island 2 2023']"
8,uTUJYIfGEyI,DEAD ISLAND 2 Walkthrough Gameplay Part 9 - PATTON (FULL GAME),20,168141,7615,0,NaN,2023-04-23T02:00:16Z,2047,"['Dead Island 2', 'Dead Island 2 Gameplay', 'Dead Island 2 Full Gameplay', 'Dead Island 2 Part 1', 'Dead Island 2 Walkthrough', 'Dead Island 2 Gameplay Part 1', 'Dead Island 2 Walkthrough Part 1', 'Dead Island 2 Review', 'Dead Island 2 Full Game', 'Dead Island 2 Gameplay Walkthrough', 'Dead Island 2 PS5', 'Dead Island 2 PS5 Gameplay', 'Dead Island 2 Ending', 'Dead Island 2 Reaction', 'Dead Island Gameplay', 'Dead Island 2023', 'Dead Island 2 Commentary', 'Dead Island 2 PlayStation 5', 'Dead Island 2 2023']"
9,cOsmt12efpA,DEAD ISLAND 2 Walkthrough Gameplay Part 10 - KONRADT (FULL GAME),20,145899,6551,0,NaN,2023-04-23T14:00:31Z,1802,"['Dead Island 2', 'Dead Island 2 Gameplay', 'Dead Island 2 Full Gameplay', 'Dead Island 2 Part 1', 'Dead Island 2 Walkthrough', 'Dead Island 2 Gameplay Part 1', 'Dead Island 2 Walkthrough Part 1', 'Dead Island 2 Review', 'Dead Island 2 Full Game', 'Dead Island 2 Gameplay Walkthrough', 'Dead Island 2 PS5', 'Dead Island 2 PS5 Gameplay', 'Dead Island 2 Ending', 'Dead Island 2 Reaction', 'Dead Island Gameplay', 'Dead Island 2023', 'Dead Island 2 Commentary', 'Dead Island 2 PlayStation 5', 'Dead Island 2 2023']"
10,zwNziJZP50w,DEAD ISLAND 2 Walkthrough Gameplay Part 11 - VENICE BEACH (FULL GAME),20,137147,6023,0,NaN,2023-04-23T20:00:12Z,1835,"['Dead Island 2', 'Dead Island 2 Gameplay', 'Dead Island 2 Full Gameplay', 'Dead Island 2 Part 1', 'Dead Island 2 Walkthrough', 'Dead Island 2 Gameplay Part 1', 'Dead Island 2 Walkthrough Part 1', 'Dead Island 2 Review', 'Dead Island 2 Full Game', 'Dead Island 2 Gameplay Walkthrough', 'Dead Island 2 PS5', 'Dead Island 2 PS5 Gameplay', 'Dead Island 2 Ending', 'Dead Island 2 Reaction', 'Dead Island Gameplay', 'Dead Island 2023', 'Dead Island 2 Commentary', 'Dead Island 2 PlayStation 5', 'Dead Island 2 2023']"
