,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,aL_o7OWCp8U,남자들의 미용실,23,1633836,36852,0,NaN,2022-09-15T12:30:00Z,27,"['남자', '국룰', '개그', '한강좌', '김한강']"
1,zXJn4JeMq70,한강좌의 면접,23,1094932,41442,0,NaN,2022-09-21T09:00:36Z,35,NaN
2,kGIVpvRicuM,남자들이 2d를 좋아하는 이유,23,1412855,44049,0,NaN,2022-09-28T11:30:09Z,35,NaN
3,Lskd6HNCzVE,남자들이 엄마를 찾는 이유,23,1776798,51719,0,NaN,2022-10-11T12:00:13Z,33,NaN
4,OANsWf3DPn4,남자들의 롤모델,23,3194141,92248,0,NaN,2022-10-23T12:00:27Z,38,NaN
5,AkR9uITAMv0,김한강 시리즈 시즌1 모음집,23,366728,4172,0,NaN,2022-10-29T12:00:08Z,164,NaN
6,H8GUCFvorgw,남자들이 직캠에 빠지는 이유,23,3047918,85018,0,NaN,2022-11-19T12:25:31Z,43,NaN
7,cP96pigYljM,남자들의 전생체험,23,1384257,39739,0,NaN,2022-12-12T12:00:30Z,43,NaN
8,o_o3V4GGP7s,남자들이 논쟁을 피하는 이유,23,2201127,69798,0,NaN,2022-12-28T12:20:02Z,44,NaN
9,0DYl25O-Lp8,남자들이 마술을 좋아하는 이유,23,1195788,42399,0,NaN,2023-01-15T12:00:02Z,48,NaN
10,7W12SakS1zQ,남자들이 중고거래를 좋아하는 이유,23,2757882,79786,0,NaN,2023-01-20T12:00:05Z,40,NaN
11,zT-7l8LUczo,남자들이 취업을 좋아하는 이유,23,1956886,58297,0,NaN,2023-01-27T12:00:41Z,29,NaN
12,kBv1D-_QjvY,남자들이 유부남을 좋아하는 이유,23,2697294,98355,0,NaN,2023-02-01T12:00:26Z,27,NaN
13,C8PfX_u5T_8,남자들이 수업을 좋아하는 이유,23,3683159,127804,0,NaN,2023-02-04T06:00:04Z,30,NaN
14,6NhmbzHuZZ4,남자들이 조언을 좋아하는 이유,23,1705768,51408,0,NaN,2023-02-10T12:00:13Z,32,NaN
15,mVk8uIwnD6Q,남자들이 초콜릿을 좋아하는 이유,23,1310472,38712,0,NaN,2023-02-14T12:02:38Z,27,NaN
16,0CkWRkjr-fE,남자들이 낯선 사람을 좋아하는 이유,23,1437795,43194,0,NaN,2023-02-16T12:00:01Z,27,NaN
17,fF6xuk75zj4,남자들이 동료를 좋아하는 이유,23,1187481,40092,0,NaN,2023-02-21T12:00:33Z,29,NaN
18,m5yUnrdnSDU,남자들이 거짓말을 좋아하는 이유,23,1926787,70450,0,NaN,2023-02-25T12:00:35Z,28,NaN
19,tkorfQsWNdo,남자들이 칭찬을 좋아하는 이유,23,1296350,44960,0,NaN,2023-03-01T12:00:39Z,32,NaN
20,JAHaqZbNbws,남자들이 허세를 좋아하는 이유,23,2447979,73796,0,NaN,2023-03-05T12:00:20Z,38,NaN
21,o_ymrp0qRy8,남자들이 청소를 좋아하는 이유,23,2065189,59108,0,NaN,2023-03-08T12:00:37Z,46,NaN
22,sIRErEvmF4I,남자들이 비행을 좋아하는 이유,23,1588023,57056,0,NaN,2023-03-12T12:00:40Z,44,NaN
23,AQntXssgiXM,김한강 시리즈 시즌2 모음집,23,196791,2528,0,NaN,2023-03-15T09:00:05Z,619,NaN
24,McibZIq-C0g,남자들이 군대를 좋아하는 이유,23,1238940,45610,0,NaN,2023-03-22T12:00:30Z,57,NaN
25,-4chK9_aO9Q,남자들이 타투를 좋아하는 이유,23,1341724,46543,0,NaN,2023-03-26T12:00:00Z,38,NaN
26,v243Z8MjkJk,남자들이 공부를 좋아하는 이유,23,772075,25415,0,NaN,2023-03-30T12:00:43Z,43,NaN
27,hK0mu4LSDLo,남자들이 가짜를 좋아하는 이유,23,1043190,35533,0,NaN,2023-04-05T12:00:35Z,59,NaN
