,title,category_id,views,likes,favorites,comments,date,tags
0,마인크래프트 야생 생존기 #1,20,363082,4015,0,NaN,2022-09-04T01:31:50Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
1,마인크래프트 야생 생존기 #2,20,157757,1254,0,NaN,2022-09-05T02:56:46Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
2,마인크래프트 야생 생존기 #3,20,124818,969,0,NaN,2022-09-05T22:05:25Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
3,마인크래프트 야생 생존기 #4,20,85731,798,0,NaN,2022-09-06T22:54:31Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
4,마인크래프트 야생 생존기 #5,20,119101,1154,0,NaN,2022-09-08T00:13:19Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
5,마인크래프트 야생 생존기 #6,20,76815,751,0,NaN,2022-09-13T01:11:27Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
6,마인크래프트 야생 생존기 #7,20,67776,705,0,NaN,2022-09-13T23:57:42Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
7,마인크래프트 야생 생존기 #8,20,79961,691,0,NaN,2022-09-15T03:02:18Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
8,마인크래프트 야생 생존기 #9,20,71273,594,0,NaN,2022-09-16T00:30:36Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
9,마인크래프트 야생 생존기 #10,20,64313,603,0,NaN,2022-09-18T22:13:24Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
10,마인크래프트 야생 생존기 #11,20,69232,588,0,NaN,2022-09-20T02:05:23Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
11,마인크래프트 야생 생존기 #12,20,64375,568,0,NaN,2022-09-21T02:01:52Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
12,마인크래프트 야생 생존기 #13,20,50924,481,0,NaN,2022-09-22T01:03:30Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
13,마인크래프트 야생 생존기 #14,20,63109,629,0,NaN,2022-09-23T01:04:32Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
14,마인크래프트 야생 생존기 #15,20,58182,561,0,NaN,2022-09-24T03:19:33Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
15,마인크래프트 야생 생존기 #16,20,53104,469,0,NaN,2022-09-26T01:13:37Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
16,마인크래프트 야생 생존기 #17,20,39836,415,0,NaN,2022-09-27T00:08:36Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
17,마인크래프트 야생 생존기 #18,20,64592,642,0,NaN,2022-09-27T22:17:36Z,"['녹두로', '마인크래프트', '야생', 'Minecraft', '공포', '워든']"
18,마인크래프트 야생 생존기 #19,20,38678,415,0,NaN,2022-09-30T02:26:06Z,"['녹두로', '마인크래프트', '야생', 'Minecraft', '공포', '워든']"
19,마인크래프트 야생 생존기 #20,20,50111,495,0,NaN,2022-09-30T22:55:23Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
20,마인크래프트 야생 생존기 #21,20,40842,407,0,NaN,2022-10-02T00:58:06Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
21,마인크래프트 야생 생존기 #22,20,56356,465,0,NaN,2022-10-03T00:51:12Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
22,마인크래프트 야생 생존기 #23 (끝),20,63629,894,0,NaN,2022-10-04T01:27:50Z,"['녹두로', '마인크래프트', '야생', 'Minecraft']"
