,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,rBUXAz0JWW4,#1 테라리아를 한 번도 안 해본 깨끗한 뇌 영상 - 대암씨 /테라리아,20,191219,1664,0,NaN,2019-06-14T13:16:27Z,646,"['테라리아', '대암씨', '생존', '청정수']"
1,zu9ccjjqu1o,#2 아니 슈발 머야 이거 - 테라리아,20,145081,1024,0,NaN,2019-06-18T12:27:24Z,645,"['테라리아', '스켈레트론']"
2,iuxmDojJFpw,#3 뭐가 있나 궁금해서 들어가봤는데 - 테라리아,20,122925,828,0,NaN,2019-06-25T13:19:32Z,617,"['테라리아', '던전', '스켈레트론', '대암씨', '해골', '무라마사']"
3,YhliiQ3D3C4,#4 고기 덩어리에 사지절단 당하는 테린이 - 테라리아,20,138061,869,0,NaN,2019-07-01T10:00:06Z,605,"['테라리아', '고기벽', '크툴루의 눈', '대암씨', '생존']"
4,Omf9pF26oBI,#5 보스 잡고 얻온 그의 크고 아름다운 무기들 - 테라리아,20,148201,900,0,NaN,2019-07-04T10:00:04Z,608,"['테라리아', '고기벽', '하드모드', '대암씨']"
5,eApH51M0srk,#6 와! 커다란 새 집 생김! - 테라리아,20,175663,1196,0,NaN,2019-07-08T13:00:08Z,615,"['테라리아', '집', '대암씨', '세상을 먹는 자']"
6,2rHu1mQsiRc,#7 아니! 뭔데 이건 갑자기 왜때문에? - 테라리아,20,140835,935,0,NaN,2019-07-11T14:04:58Z,642,"['테라리아', '파괴자', '미스릴', '팔라듐', '대암씨', '흑요석']"
7,kSkPd0I6p8M,#8 압도적인 힘의 차이를 느껴버린 영상 - 테라리아,20,213984,1272,0,NaN,2019-07-14T12:39:05Z,694,"['테라리아', '다이달로스', '파괴자', '대암씨', '신성']"
8,KBqOfDuBOoM,#9 지능적 플레이에 아무고토 모타는 보스 - 테라리아,20,168804,1148,0,NaN,2019-07-17T12:19:01Z,699,"['플렌테라', '테라리아', '대암씨', '다이달로스', '스켈레트론 총리', '쌍둥이']"
9,xKRKiHuhsDA,#10 흠.. 오늘따라 달이 왜 이렇게 크지? - 테라리아,20,154318,1112,0,NaN,2019-07-20T13:39:28Z,676,"['테라리아', '광신도', '사원', '골렘', '대암씨']"
10,QyQwmiQ3Fj4,#11 빛과 함께 나타나 빛의 속도로 뚝배기 부수는 보스 ㄷㄷ - 테라리아,20,162048,1106,0,NaN,2019-07-23T11:30:01Z,822,"['달의 군주', '기둥', '테라리아', '대암씨', '문로드']"
11,OUYVJ4cFGHA,#12 구식 장비에서 고급 장비로 신세계를 맛보는 영상 ㅗㅜㅑ;; - 테라리아,20,201450,1161,0,NaN,2019-07-27T12:49:33Z,610,"['테라리아', '탑승형 드릴', '루미네이트', 'UFO', '화성인', '달의 군주', '대암씨']"
12,BZW2GspyZA4,#13 만렙 레인저에서 1렙 농부로 떡락한 이야기 - 테라리아,20,157501,1154,0,NaN,2019-07-30T13:11:17Z,661,"['테라리아', '전문가모드', '크툴루의방패', '대암씨']"
13,B04EtnxjZUU,#14 최약체였던 보스가 겁나 강해져서 참교육하는 영상 - 테라리아,20,110466,836,0,NaN,2019-08-02T13:48:33Z,497,"['테라리아', '여왕벌', '크툴루의뇌', '운석', '전문가모드', '대암씨']"
14,6rmHJ5nEyp0,#15 인간의 욕심을 위해 무수히 많이 희생된 벌 - 테라리아,20,138001,927,0,NaN,2019-08-07T12:42:14Z,624,"['테라리아', '대암씨', '여왕벌', '고기벽', '전문가', '비즈니스', '벌총', '벌류탄']"
15,PSPFR2u7SSg,#16 아니 얘네는 도대체 뭔데 갑자기 어디서 - 테라리아 Calamity Mod,20,164771,1160,0,NaN,2019-08-12T13:15:48Z,660,"['칼라미티 모드', '테라리아', '대암씨', '보스', 'RPG']"
