,id,title,category_id,views,likes,favorites,comments,date,date_gap_hours,duration,tags
0,47NKup8ReRY,[LENIVERSE] EP.1 Welcome to the LENIVERSE,10,2241984,96179,0,NaN,2022-08-10T11:00:04Z,352800.33,1554,"['LE SSERAFIM', '르세라핌']"
1,2EjZT-D6_dA,[LENIVERSE] EP.2 Welcome to the LENIVERSE,10,1259605,56559,0,NaN,2022-08-17T11:00:01Z,342720.38,2014,"['LE SSERAFIM', '르세라핌']"
2,olf95t11qlI,[LENIVERSE] EP.3 Do you know me?,10,947223,38081,0,NaN,2022-08-24T11:00:01Z,332640.34,2185,"['LE SSERAFIM', '르세라핌']"
3,xRpkmlZiN_w,[LENIVERSE] EP.4 가위바위보 대작전 1편 (Mission! RSP_01),10,1531039,48981,0,NaN,2022-08-31T11:00:01Z,322560.34,1938,"['LE SSERAFIM', '르세라핌']"
4,3pNglLU8XME,[LENIVERSE] EP.5 가위바위보 대작전 2편 (Mission! RSP_02),10,1071635,41348,0,NaN,2022-09-07T11:00:01Z,312480.34,2143,"['LE SSERAFIM', '르세라핌']"
5,_QZSetDV2i8,[LENIVERSE] EP.6 비 오니까 오히려 좋아♥ 1편,10,1197916,39753,0,NaN,2022-09-14T11:00:01Z,302400.34,1852,"['LE SSERAFIM', '르세라핌']"
6,YwU0UzjcTA8,[LENIVERSE] EP.7 비 오니까 오히려 좋아♥ 2편,10,951657,37608,0,NaN,2022-09-21T11:00:01Z,292320.33,2140,"['LE SSERAFIM', '르세라핌']"
7,tR0MHz7dhgo,[LENIVERSE] EP.8 핌시방에서 생긴 일 1편,10,2150096,73903,0,NaN,2022-09-28T10:59:59Z,282240.36,1520,"['LE SSERAFIM', '르세라핌']"
8,_i-CvQVgnqA,[LENIVERSE] EP.9 핌시방에서 생긴 일 2편,10,1601210,54273,0,NaN,2022-10-05T11:00:00Z,272160.34,1600,"['LE SSERAFIM', '르세라핌']"
9,Wwy2MsHPnVg,[LENIVERSE] EP.10 꼭꼭 숨어라 머리카락 보일라,10,1093636,50174,0,NaN,2023-02-01T11:00:01Z,100800.32,2390,"['LE SSERAFIM', '르세라핌']"
10,ezL9NpGehZY,[LENIVERSE] EP.11 추우니까 오히려 좋아❤️ 1편,10,1842702,63419,0,NaN,2023-02-08T11:00:01Z,90720.32,1869,"['LE SSERAFIM', '르세라핌']"
11,A0fCET-KbDk,[LENIVERSE] EP.12 추우니까 오히려 좋아❤️ 2편,10,1061618,45172,0,NaN,2023-02-15T11:00:01Z,80640.31,2106,"['LE SSERAFIM', '르세라핌']"
12,aO92SlPwIcQ,[LENIVERSE] EP.13 FPS 특집 1편,10,853223,42754,0,NaN,2023-02-22T11:00:01Z,70560.31,1744,"['LE SSERAFIM', '르세라핌']"
13,C-xJoKpTi34,[LENIVERSE] EP.14 FPS 특집 2편,10,576073,32691,0,NaN,2023-03-01T11:00:00Z,60480.33,1807,"['LE SSERAFIM', '르세라핌']"
14,Bv_6gO5RUVA,[LENIVERSE] EP.15 출동! 핌마을 방범대 1편,10,1023597,40917,0,NaN,2023-03-08T11:00:00Z,50400.32,2117,"['LE SSERAFIM', '르세라핌']"
15,3OvuWo6TPZE,[LENIVERSE] EP.16 출동! 핌마을 방범대 2편,10,620883,29041,0,NaN,2023-03-15T11:00:01Z,40320.3,2186,"['LE SSERAFIM', '르세라핌']"
16,xQJmEiZXFYE,[LENIVERSE] EP.17 LE CAFÉ 1편,10,691554,34080,0,NaN,2023-03-22T11:00:01Z,30240.3,1866,"['LE SSERAFIM', '르세라핌']"
17,QQCxagLCpks,[LENIVERSE] EP.18 LE CAFÉ 2편,10,486114,28600,0,NaN,2023-03-29T11:00:02Z,20160.28,1886,"['LE SSERAFIM', '르세라핌']"
