,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,wu1fOmsPEr8,성시경의 먹을텐데 l 대성집 도가니탕,24,2211955,37583,0,NaN,2022-03-11T09:00:14Z,581,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']"
1,28pXe1a9yrA,성시경의 먹을텐데 l 어머니 대성집 해장국,24,1831768,26462,0,NaN,2022-03-17T09:00:14Z,942,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']"
2,p52CSWUXQMk,성시경의 먹을텐데 l 약수 순대국,24,1515833,24392,0,NaN,2022-03-25T09:00:11Z,637,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']"
3,DpGJEDKsf1o,성시경의 먹을텐데 l 화목 순대국,24,3261099,32053,0,NaN,2022-04-01T09:00:12Z,656,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']"
4,a4IFiQUf3D4,성시경의 먹을텐데 l 신미식당 감자탕,24,1493929,23965,0,NaN,2022-04-05T09:00:15Z,776,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']"
5,QakFqXFK2Xs,성시경의 먹을텐데 l 신당 중앙시장 습격사건,24,2707407,39306,0,NaN,2022-04-08T10:00:13Z,1605,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']"
6,s1ToTcCXgy0,성시경의 먹을텐데 l 경원식당 부대찌개,24,1465764,21689,0,NaN,2022-04-15T09:00:15Z,577,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']"
7,AHPEiQSyezo,성시경의 먹을텐데 l 첫 게스트와 안동국시 (GUEST.유세윤),24,2241737,35424,0,NaN,2022-04-19T09:00:14Z,1360,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']"
8,qfRHMGywHVQ,성시경의 먹을텐데 l 이태원 숯불구이,24,1804473,25007,0,NaN,2022-04-22T09:00:14Z,1563,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']"
9,iPVLZhuog-g,성시경의 먹을텐데 l 부영각 부추 복어살,24,1397792,21939,0,NaN,2022-04-25T09:00:11Z,1455,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']"
